,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,6,Beko,33.0,bd.,1.0
1,7,Electrolux,28.0,bd.,3.5
2,3,Beko,30.0,bd.,2.5
3,6,Electrolux,40.0,bd.,3.5
4,4,Dyson,44.0,bd.,2.0
5,3,Tefal,31.0,bd.,5.0
6,4,Beko,40.0,bd.,3.0
7,13,Electrolux,21.0,bd.,3.0
8,6,Tefal,45.0,bd.,1.5
9,3,Samsung,53.0,bd.,3.0
10,6,Dyson,41.0,bd.,3.0
11,6,Electrolux,37.0,K,1.0
12,6,Beko,35.0,bd.,1.5
13,7,Tefal,51.0,M,1.5
14,11,Tefal,42.0,bd.,3.0
15,8,Electrolux,40.0,bd.,5.0
16,10,Dyson,54.0,bd.,2.5
17,10,Dyson,50.0,bd.,4.0
18,11,Electrolux,34.0,M,3.0
19,2,Tefal,45.0,bd.,3.0
20,9,Beko,31.0,bd.,2.5
21,7,Electrolux,47.0,bd.,4.5
22,9,Beko,37.0,bd.,2.0
23,7,Dyson,33.0,M,2.5
24,9,Beko,39.0,bd.,4.5
25,10,Dyson,43.0,bd.,2.5
26,5,Beko,36.0,M,3.0
27,6,Dyson,44.0,bd.,2.5
28,4,Electrolux,,bd.,3.5
29,8,Beko,49.0,M,3.0
30,6,Tefal,25.0,M,2.5
31,2,Tefal,62.0,M,5.0
32,4,Dyson,44.0,M,3.0
33,7,Tefal,37.0,M,1.5
34,5,Dyson,,bd.,1.5
35,8,Beko,23.0,bd.,2.5
36,9,Tefal,48.0,bd.,2.0
37,8,Dyson,36.0,bd.,2.0
38,6,Beko,27.0,M,2.5
39,6,Electrolux,41.0,M,2.0
40,2,Dyson,50.0,bd.,2.0
41,8,Electrolux,38.0,bd.,2.5
42,10,Electrolux,27.0,bd.,2.5
43,9,Electrolux,41.0,M,3.0
44,9,Beko,31.0,bd.,2.0
45,4,Samsung,,bd.,2.5
46,5,Electrolux,,M,0.0
47,9,Electrolux,46.0,bd.,1.0
48,3,Electrolux,35.0,M,3.0
49,3,Beko,39.0,M,3.0
50,12,Beko,38.0,bd.,4.0
51,9,Tefal,38.0,bd.,2.0
52,6,Tefal,38.0,M,1.0
53,10,Tefal,39.0,bd.,1.5
54,7,Tefal,23.0,bd.,1.5
55,5,Electrolux,46.0,bd.,2.0
56,10,Tefal,61.0,bd.,1.0
57,8,Dyson,44.0,M,3.0
58,7,Tefal,45.0,M,3.5
59,6,Beko,34.0,bd.,3.5
60,5,Beko,44.0,bd.,1.5
61,10,Electrolux,40.0,bd.,2.5
62,5,Beko,43.0,M,2.5
63,9,Tefal,38.0,bd.,3.0
