,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,5,Beko,38.0,bd.,5.0
1,4,Dyson,37.0,bd.,3.5
2,10,Samsung,20.0,bd.,2.5
3,14,Tefal,48.0,K,2.5
4,7,Electrolux,39.0,bd.,4.5
5,5,Samsung,50.0,M,1.5
6,7,Electrolux,40.0,M,2.0
7,10,Tefal,32.0,K,3.0
8,7,Tefal,30.0,bd.,4.0
9,8,Samsung,,bd.,1.0
10,2,Beko,41.0,bd.,2.0
11,6,Samsung,40.0,M,2.5
12,9,Electrolux,36.0,M,1.0
13,2,Electrolux,39.0,M,2.5
14,9,Tefal,,K,1.0
15,10,Samsung,44.0,M,4.0
16,3,Tefal,53.0,bd.,2.0
17,6,Tefal,37.0,M,5.0
18,13,Electrolux,37.0,M,1.0
19,9,Samsung,40.0,bd.,2.5
20,7,Electrolux,54.0,K,3.5
21,4,Tefal,35.0,M,4.0
22,5,Dyson,24.0,M,2.0
23,6,Tefal,,bd.,5.0
24,3,Samsung,47.0,K,2.5
25,5,Electrolux,46.0,bd.,1.5
26,4,Dyson,52.0,bd.,5.0
27,8,Electrolux,46.0,bd.,1.0
28,10,Samsung,48.0,K,1.0
29,7,Electrolux,,bd.,5.0
30,5,Electrolux,34.0,M,4.5
31,4,Beko,43.0,M,1.5
32,9,Beko,40.0,K,1.5
33,17,Tefal,46.0,M,3.0
34,9,Dyson,24.0,K,2.0
35,4,Tefal,,bd.,1.5
36,3,Samsung,55.0,bd.,4.5
37,9,Samsung,46.0,bd.,2.5
38,3,Beko,42.0,bd.,2.5
39,6,Tefal,36.0,bd.,2.5
40,9,Dyson,40.0,M,2.0
41,8,Dyson,34.0,bd.,3.0
42,9,Electrolux,43.0,K,0.0
43,8,Tefal,55.0,bd.,1.5
44,5,Tefal,30.0,bd.,3.0
45,7,Electrolux,38.0,M,3.5
46,11,Beko,29.0,M,2.0
47,2,Electrolux,38.0,K,3.5
48,8,Samsung,54.0,K,1.5
49,10,Tefal,31.0,M,3.5
50,11,Tefal,48.0,M,1.0
51,6,Dyson,53.0,bd.,0.0
52,8,Beko,43.0,K,0.0
53,2,Electrolux,42.0,bd.,4.5
54,7,Tefal,44.0,bd.,1.5
55,2,Beko,65.0,bd.,4.0
56,7,Tefal,34.0,bd.,1.0
57,8,Dyson,39.0,bd.,2.0
58,5,Tefal,51.0,bd.,3.5
59,7,Dyson,35.0,M,3.0
60,9,Electrolux,44.0,K,2.0
61,11,Electrolux,36.0,bd.,4.5
62,8,Samsung,38.0,M,4.0
63,7,Beko,23.0,K,1.0
64,8,Electrolux,24.0,K,2.0
65,6,Beko,37.0,bd.,2.0
66,7,Beko,52.0,bd.,1.5
67,8,Tefal,26.0,M,2.0
68,8,Dyson,37.0,bd.,2.0
69,13,Electrolux,34.0,M,3.0
70,5,Samsung,30.0,K,1.0
71,12,Samsung,34.0,M,1.5
72,5,Electrolux,36.0,K,2.5
73,4,Beko,36.0,bd.,1.5
74,7,Samsung,33.0,M,2.5
75,7,Tefal,43.0,bd.,3.5
76,12,Electrolux,52.0,M,2.0
77,8,Tefal,43.0,bd.,2.5
78,4,Electrolux,43.0,bd.,2.0
79,7,Electrolux,53.0,K,3.5
80,7,Tefal,44.0,bd.,2.5
81,9,Beko,46.0,bd.,0.5
82,6,Electrolux,40.0,K,3.5
83,10,Electrolux,25.0,K,1.5
84,9,Beko,,M,3.0
85,10,Dyson,46.0,K,1.5
86,6,Samsung,40.0,M,1.5
87,11,Beko,44.0,bd.,3.0
88,7,Electrolux,37.0,bd.,3.0
89,11,Samsung,45.0,K,3.0
90,4,Dyson,49.0,K,2.5
91,9,Dyson,25.0,bd.,1.0
92,9,Electrolux,22.0,bd.,1.5
93,8,Electrolux,44.0,bd.,3.0
94,5,Beko,35.0,bd.,1.5
95,4,Dyson,,bd.,2.0
96,12,Samsung,47.0,M,3.5
97,7,Beko,43.0,bd.,3.5
98,11,Samsung,54.0,bd.,4.0
99,9,Dyson,43.0,K,3.5
100,4,Samsung,37.0,bd.,2.0
101,5,Beko,30.0,K,0.5
102,6,Beko,,bd.,2.0
103,8,Tefal,40.0,M,2.0
104,4,Tefal,40.0,bd.,2.0
105,8,Samsung,,M,2.0
106,8,Samsung,50.0,M,3.0
107,7,Tefal,39.0,K,5.0
108,4,Beko,23.0,M,3.0
109,7,Tefal,34.0,bd.,2.0
110,8,Electrolux,62.0,bd.,2.5
111,3,Electrolux,32.0,bd.,1.5
112,7,Electrolux,,bd.,1.5
113,6,Tefal,33.0,K,4.0
114,6,Samsung,45.0,bd.,2.5
115,9,Beko,59.0,K,3.5
116,4,Tefal,35.0,K,3.5
117,6,Samsung,33.0,bd.,1.5
118,9,Dyson,,bd.,2.0
119,4,Tefal,51.0,K,1.5
120,7,Electrolux,28.0,K,1.5
121,7,Electrolux,45.0,bd.,2.5
122,16,Electrolux,31.0,bd.,5.0
123,6,Tefal,38.0,K,2.0
124,7,Tefal,35.0,bd.,0.5
125,5,Electrolux,49.0,bd.,3.0
126,10,Tefal,,K,3.0
127,9,Electrolux,31.0,bd.,2.0
128,4,Samsung,47.0,bd.,1.0
129,2,Tefal,25.0,bd.,2.0
130,1,Beko,59.0,K,1.5
131,3,Electrolux,35.0,bd.,1.5
132,10,Tefal,51.0,K,3.0
133,6,Electrolux,36.0,M,2.0
134,6,Dyson,36.0,bd.,2.5
135,8,Beko,27.0,K,3.0
136,6,Tefal,45.0,M,2.5
137,5,Tefal,49.0,K,3.0
138,5,Samsung,34.0,bd.,1.0
139,8,Tefal,57.0,bd.,2.0
140,5,Dyson,40.0,bd.,1.5
141,4,Beko,29.0,K,2.5
142,8,Samsung,43.0,bd.,0.5
143,7,Tefal,48.0,K,3.0
144,8,Electrolux,53.0,M,3.5
145,10,Samsung,60.0,K,2.0
146,6,Dyson,61.0,bd.,3.0
147,6,Electrolux,43.0,K,3.5
148,8,Tefal,,M,2.0
149,11,Tefal,39.0,bd.,3.5
150,7,Electrolux,41.0,bd.,2.0
151,12,Samsung,34.0,bd.,1.5
152,6,Dyson,30.0,K,3.0
153,6,Dyson,48.0,bd.,1.5
154,9,Dyson,41.0,bd.,3.0
155,5,Beko,37.0,K,2.0
156,8,Beko,40.0,bd.,2.0
157,8,Dyson,32.0,K,2.0
158,7,Tefal,24.0,K,3.5
159,5,Samsung,41.0,M,1.0
160,2,Tefal,,M,2.0
161,7,Dyson,32.0,bd.,0.0
162,5,Electrolux,39.0,M,3.0
163,9,Tefal,34.0,K,1.0
164,7,Tefal,22.0,K,1.0
165,5,Samsung,26.0,K,2.5
166,8,Dyson,48.0,bd.,3.0
167,5,Beko,32.0,bd.,2.0
168,7,Dyson,47.0,K,3.0
169,6,Tefal,43.0,M,3.5
170,9,Tefal,,M,1.5
171,6,Electrolux,41.0,M,0.0
172,6,Tefal,43.0,K,3.0
173,8,Dyson,,bd.,4.5
174,9,Dyson,43.0,K,1.5
175,6,Samsung,48.0,bd.,3.0
176,6,Tefal,67.0,bd.,2.0
177,2,Dyson,41.0,K,0.5
178,2,Tefal,44.0,bd.,2.5
179,5,Samsung,,bd.,2.5
180,6,Electrolux,32.0,M,3.5
181,5,Tefal,38.0,M,0.5
182,7,Tefal,36.0,M,2.0
183,10,Tefal,31.0,K,3.0
184,9,Dyson,25.0,bd.,3.0
185,6,Tefal,21.0,M,1.0
186,13,Tefal,49.0,bd.,1.5
187,11,Samsung,,bd.,1.5
188,10,Beko,44.0,bd.,3.5
189,4,Beko,52.0,bd.,2.5
190,16,Beko,24.0,M,2.0
191,5,Beko,42.0,M,4.0
192,4,Electrolux,40.0,bd.,0.5
193,6,Electrolux,43.0,bd.,0.0
194,6,Electrolux,,K,1.0
195,5,Tefal,57.0,bd.,2.0
196,4,Dyson,54.0,M,3.0
197,6,Tefal,46.0,K,1.0
198,9,Tefal,41.0,bd.,1.5
199,8,Tefal,43.0,M,2.0
200,9,Samsung,34.0,M,2.5
201,6,Tefal,42.0,bd.,2.5
202,8,Samsung,,K,1.5
203,10,Dyson,40.0,bd.,5.0
204,7,Beko,41.0,bd.,2.5
205,3,Tefal,33.0,M,4.0
206,9,Beko,26.0,bd.,0.5
207,3,Samsung,50.0,bd.,2.5
208,7,Dyson,55.0,M,3.0
209,6,Tefal,40.0,bd.,1.5
210,8,Electrolux,25.0,M,2.5
211,11,Electrolux,48.0,M,1.5
212,11,Electrolux,52.0,bd.,3.0
213,2,Beko,24.0,M,2.5
214,8,Tefal,35.0,K,2.5
215,5,Dyson,27.0,bd.,1.0
216,10,Dyson,47.0,bd.,2.0
217,8,Samsung,37.0,bd.,2.5
218,12,Electrolux,40.0,K,3.0
219,8,Beko,56.0,K,1.5
220,12,Samsung,,M,3.0
221,5,Beko,32.0,bd.,2.5
222,6,Samsung,42.0,K,2.0
