,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,10,Beko,33.0,M,1.5
1,3,Tefal,,M,3.5
2,9,Samsung,44.0,M,2.5
3,5,Samsung,40.0,M,0.5
4,2,Samsung,48.0,M,3.0
5,6,Electrolux,26.0,M,3.5
6,7,Electrolux,54.0,M,3.0
7,7,Samsung,32.0,M,3.0
8,7,Dyson,55.0,M,3.0
9,10,Tefal,48.0,M,2.5
10,8,Dyson,63.0,M,3.0
11,8,Samsung,21.0,M,2.5
12,7,Electrolux,43.0,K,1.5
13,10,Samsung,35.0,M,2.0
14,7,Electrolux,42.0,M,2.0
15,9,Beko,36.0,M,4.5
16,5,Electrolux,28.0,M,1.5
17,6,Samsung,43.0,M,3.5
18,7,Tefal,28.0,M,2.0
19,8,Samsung,40.0,M,3.0
20,5,Tefal,,M,2.0
21,5,Electrolux,47.0,M,3.0
22,7,Samsung,50.0,K,3.5
23,7,Samsung,37.0,M,2.5
24,9,Tefal,49.0,M,2.0
25,15,Tefal,53.0,M,1.5
26,9,Electrolux,38.0,M,2.0
27,5,Tefal,,M,2.0
28,6,Electrolux,47.0,M,2.0
29,8,Dyson,47.0,M,1.0
30,3,Tefal,36.0,M,2.0
31,9,Samsung,38.0,M,2.0
32,8,Beko,44.0,M,1.0
33,13,Samsung,60.0,K,1.0
34,7,Samsung,38.0,M,0.5
35,4,Tefal,,K,2.0
36,5,Electrolux,45.0,M,2.0
37,8,Electrolux,33.0,M,1.5
38,6,Samsung,33.0,M,2.0
39,7,Tefal,26.0,M,1.0
40,7,Electrolux,42.0,M,1.5
41,7,Electrolux,21.0,M,3.5
42,4,Dyson,38.0,M,3.5
43,4,Tefal,53.0,M,3.0
44,8,Tefal,28.0,M,2.0
45,12,Beko,38.0,K,2.0
46,5,Samsung,39.0,M,3.5
47,9,Samsung,34.0,M,3.5
48,10,Tefal,43.0,M,2.0
49,7,Electrolux,,M,2.5
50,15,Samsung,46.0,M,3.5
51,7,Beko,40.0,M,2.0
52,6,Dyson,,M,2.5
53,3,Electrolux,35.0,K,5.0
54,8,Samsung,37.0,M,1.0
55,6,Beko,43.0,M,2.0
56,11,Tefal,22.0,M,3.5
57,9,Electrolux,53.0,M,1.5
58,6,Samsung,52.0,M,2.0
59,7,Electrolux,52.0,M,1.5
60,6,Electrolux,35.0,M,2.0
61,7,Samsung,54.0,M,3.0
62,9,Samsung,40.0,M,1.5
63,10,Samsung,48.0,M,2.0
64,7,Electrolux,32.0,M,2.5
65,4,Samsung,50.0,M,2.0
66,10,Dyson,27.0,K,0.5
67,9,Samsung,,M,3.5
68,2,Samsung,34.0,M,5.0
69,8,Tefal,47.0,M,3.0
70,6,Samsung,37.0,K,1.5
71,4,Tefal,30.0,M,3.0
72,5,Samsung,45.0,M,5.0
73,8,Dyson,36.0,M,1.5
74,11,Samsung,41.0,M,3.0
75,9,Samsung,20.0,K,1.5
76,10,Tefal,60.0,M,1.0
