,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,7,Beko,33.0,M,3.0
1,7,Beko,55.0,bd.,3.0
2,10,Beko,50.0,M,2.0
3,11,Tefal,36.0,M,2.5
4,3,Beko,62.0,K,2.5
5,14,Electrolux,46.0,bd.,2.5
6,8,Beko,38.0,M,2.0
7,10,Beko,43.0,bd.,2.0
8,6,Beko,52.0,bd.,3.0
9,10,Electrolux,52.0,M,0.5
10,6,Beko,51.0,M,3.5
11,6,Tefal,48.0,M,2.0
12,9,Beko,50.0,K,1.5
13,3,Beko,,bd.,2.5
14,13,Beko,,K,3.0
15,13,Tefal,29.0,M,3.0
16,10,Electrolux,54.0,M,1.5
17,10,Beko,30.0,M,3.0
18,10,Samsung,34.0,K,3.0
19,8,Beko,52.0,M,2.5
20,7,Tefal,43.0,M,2.5
21,3,Beko,48.0,M,4.5
22,9,Beko,29.0,M,4.0
23,6,Electrolux,42.0,K,2.0
24,5,Samsung,47.0,M,2.0
25,10,Tefal,33.0,M,1.5
26,8,Electrolux,63.0,M,3.0
27,4,Beko,27.0,M,3.5
28,4,Beko,45.0,M,3.5
29,7,Beko,36.0,bd.,2.5
30,4,Tefal,,K,1.0
31,5,Beko,40.0,K,3.0
32,2,Tefal,30.0,M,4.0
33,4,Beko,33.0,K,0.5
34,5,Tefal,52.0,bd.,2.0
35,6,Beko,45.0,K,1.5
36,8,Beko,44.0,M,1.5
37,9,Beko,46.0,M,3.0
38,6,Electrolux,22.0,M,2.0
39,4,Samsung,35.0,K,5.0
40,7,Tefal,39.0,M,1.5
41,6,Beko,44.0,M,2.0
42,4,Beko,45.0,M,4.0
43,11,Beko,46.0,K,4.5
44,6,Electrolux,56.0,bd.,3.5
45,7,Tefal,39.0,M,1.0
46,7,Electrolux,43.0,bd.,1.0
47,8,Beko,37.0,K,3.5
48,4,Dyson,,M,3.0
49,4,Beko,35.0,M,2.5
50,5,Beko,29.0,bd.,2.5
51,8,Dyson,72.0,K,1.5
52,3,Tefal,42.0,bd.,2.0
53,10,Beko,,M,2.5
54,11,Beko,30.0,M,1.0
55,7,Beko,53.0,bd.,2.5
56,8,Beko,,bd.,3.0
57,4,Beko,32.0,K,1.0
58,6,Electrolux,32.0,K,4.0
59,6,Beko,21.0,K,3.0
60,13,Beko,31.0,M,3.0
61,6,Beko,,K,2.0
62,11,Beko,46.0,M,4.5
63,11,Tefal,31.0,bd.,3.5
64,3,Beko,30.0,K,2.5
65,5,Beko,25.0,bd.,3.0
66,3,Beko,46.0,K,3.0
67,13,Beko,46.0,bd.,2.0
68,9,Beko,42.0,bd.,2.0
69,11,Beko,40.0,M,2.0
70,5,Beko,29.0,K,0.0
71,7,Electrolux,,K,2.0
72,6,Beko,20.0,bd.,2.5
73,6,Beko,44.0,M,1.5
74,7,Beko,43.0,K,5.0
75,1,Tefal,60.0,M,1.0
76,0,Beko,40.0,M,1.0
77,9,Beko,38.0,K,1.0
78,2,Tefal,36.0,M,1.0
79,6,Beko,38.0,M,4.0
80,6,Beko,37.0,M,2.5
81,13,Beko,36.0,K,4.0
82,4,Beko,34.0,M,1.5
83,9,Beko,49.0,K,1.5
84,9,Beko,,M,2.0
85,10,Electrolux,38.0,bd.,3.0
86,10,Beko,50.0,M,1.0
87,7,Tefal,51.0,K,1.5
88,10,Beko,50.0,M,1.0
89,9,Beko,28.0,K,0.5
90,8,Beko,37.0,K,3.0
91,8,Beko,42.0,M,1.0
92,17,Beko,47.0,M,3.0
93,6,Beko,,M,2.0
94,12,Dyson,37.0,M,4.0
95,6,Beko,42.0,K,4.5
96,9,Beko,40.0,M,0.0
97,6,Beko,46.0,K,3.0
98,4,Tefal,41.0,M,1.5
99,11,Beko,49.0,bd.,1.5
100,11,Tefal,41.0,M,2.5
101,7,Beko,35.0,M,2.0
102,6,Samsung,35.0,bd.,3.5
103,8,Beko,29.0,K,1.0
104,12,Dyson,51.0,M,5.0
