,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,5,Dyson,45.0,K,2.0
1,9,Dyson,,K,1.0
2,11,Beko,44.0,K,2.0
3,10,Electrolux,40.0,bd.,2.0
4,5,Electrolux,62.0,K,2.5
5,3,Samsung,39.0,bd.,4.0
6,9,Samsung,,M,2.0
7,9,Beko,44.0,bd.,1.0
8,7,Tefal,39.0,K,2.5
9,8,Beko,39.0,K,2.5
10,6,Tefal,40.0,K,2.0
11,6,Electrolux,,K,3.5
12,4,Electrolux,37.0,M,2.0
13,13,Dyson,18.0,M,4.5
14,10,Beko,30.0,K,4.0
15,8,Dyson,48.0,bd.,2.5
16,7,Dyson,42.0,K,4.0
17,9,Electrolux,35.0,K,1.0
18,2,Tefal,42.0,K,1.5
19,8,Dyson,31.0,K,0.0
20,10,Beko,,K,2.0
21,8,Electrolux,27.0,K,2.0
22,7,Electrolux,40.0,M,2.0
23,1,Electrolux,24.0,K,3.5
24,7,Electrolux,52.0,bd.,2.5
25,8,Beko,25.0,bd.,2.0
26,9,Beko,33.0,M,2.5
27,10,Dyson,38.0,K,2.5
28,4,Beko,48.0,K,2.5
29,13,Beko,19.0,K,3.5
30,8,Beko,36.0,bd.,1.5
31,6,Beko,38.0,K,0.0
32,10,Dyson,45.0,bd.,3.0
33,6,Beko,36.0,K,1.5
34,6,Dyson,36.0,M,3.0
35,5,Beko,44.0,bd.,1.0
36,8,Dyson,48.0,K,1.0
37,6,Beko,20.0,K,2.0
38,7,Beko,55.0,M,1.5
39,11,Samsung,43.0,K,4.0
40,6,Electrolux,45.0,K,3.5
41,6,Dyson,45.0,K,3.5
42,9,Beko,28.0,bd.,1.5
43,6,Beko,46.0,M,4.0
44,7,Electrolux,52.0,bd.,4.0
45,2,Beko,,bd.,3.0
46,7,Beko,35.0,M,1.5
47,4,Electrolux,36.0,K,3.0
48,6,Electrolux,45.0,bd.,2.5
49,5,Dyson,29.0,bd.,4.0
50,8,Beko,,K,2.5
51,7,Samsung,57.0,K,2.5
52,8,Beko,52.0,K,1.0
53,8,Samsung,34.0,K,3.5
54,8,Dyson,,M,3.5
55,7,Dyson,39.0,K,2.5
56,7,Electrolux,47.0,bd.,0.5
57,5,Dyson,37.0,K,4.0
58,6,Tefal,35.0,K,1.0
59,7,Electrolux,29.0,bd.,3.0
60,6,Beko,35.0,K,3.5
61,3,Dyson,47.0,bd.,3.0
62,5,Beko,29.0,bd.,2.5
63,6,Beko,39.0,bd.,2.5
64,11,Beko,32.0,M,4.5
65,8,Beko,,M,3.0
66,12,Electrolux,49.0,K,0.0
67,9,Dyson,56.0,M,2.5
68,9,Tefal,,bd.,1.0
69,3,Electrolux,51.0,bd.,3.0
70,9,Tefal,56.0,K,2.0
71,5,Beko,34.0,K,1.5
72,7,Tefal,42.0,M,4.0
73,8,Dyson,33.0,M,2.0
74,9,Dyson,38.0,K,2.0
75,7,Dyson,46.0,K,2.0
76,4,Beko,26.0,M,3.0
77,5,Dyson,25.0,bd.,2.5
78,6,Electrolux,50.0,bd.,3.0
79,6,Samsung,50.0,bd.,3.5
80,6,Electrolux,25.0,M,2.5
81,4,Beko,19.0,bd.,1.5
82,7,Electrolux,36.0,bd.,3.0
83,3,Beko,48.0,bd.,2.0
84,5,Electrolux,39.0,M,3.5
85,7,Beko,36.0,bd.,2.0
86,7,Electrolux,51.0,K,1.5
87,14,Beko,26.0,M,2.5
88,8,Dyson,,bd.,1.5
89,9,Beko,37.0,K,3.5
90,4,Tefal,28.0,K,2.5
91,3,Electrolux,46.0,K,2.0
92,13,Beko,,K,3.0
93,5,Beko,32.0,K,2.5
94,10,Dyson,43.0,bd.,3.5
95,6,Electrolux,41.0,K,1.0
96,6,Electrolux,35.0,K,4.0
97,2,Beko,46.0,K,1.5
98,8,Electrolux,33.0,K,2.5
99,10,Dyson,26.0,M,2.0
100,8,Electrolux,41.0,M,1.5
101,4,Tefal,49.0,bd.,2.5
102,8,Samsung,,M,2.5
103,5,Dyson,40.0,K,4.0
104,7,Electrolux,52.0,M,1.5
105,5,Dyson,49.0,K,3.5
106,10,Beko,37.0,K,3.5
107,5,Beko,,bd.,2.5
108,9,Tefal,47.0,M,1.0
109,5,Tefal,35.0,K,3.0
110,8,Beko,39.0,K,2.5
111,5,Electrolux,30.0,K,1.5
112,9,Electrolux,53.0,bd.,5.0
113,8,Electrolux,48.0,bd.,2.5
114,10,Samsung,41.0,K,1.0
115,5,Dyson,35.0,bd.,3.0
116,4,Electrolux,34.0,K,1.5
117,4,Electrolux,38.0,K,2.0
118,8,Beko,30.0,M,3.0
119,3,Beko,36.0,K,3.0
120,7,Samsung,37.0,K,3.0
121,6,Dyson,28.0,bd.,2.0
122,9,Beko,22.0,K,3.0
123,3,Electrolux,36.0,M,2.0
124,11,Dyson,53.0,K,1.5
125,3,Dyson,42.0,K,0.5
126,7,Beko,32.0,K,4.0
127,9,Electrolux,68.0,M,3.5
128,4,Electrolux,37.0,K,2.0
129,7,Dyson,36.0,bd.,3.5
130,6,Dyson,27.0,bd.,3.5
131,9,Beko,26.0,K,1.0
132,9,Beko,48.0,K,4.0
133,9,Dyson,36.0,M,1.5
134,1,Beko,41.0,M,1.0
135,5,Beko,55.0,bd.,0.5
136,6,Samsung,49.0,K,5.0
137,8,Dyson,,M,3.0
138,5,Dyson,,bd.,4.5
139,7,Electrolux,,K,3.0
140,12,Beko,47.0,K,3.5
141,8,Beko,50.0,K,3.5
142,5,Beko,30.0,M,3.5
143,11,Tefal,62.0,bd.,2.5
144,5,Dyson,,K,3.0
145,14,Dyson,27.0,bd.,2.0
146,5,Dyson,38.0,M,2.0
147,4,Dyson,28.0,M,1.5
148,5,Dyson,49.0,bd.,2.0
149,2,Tefal,52.0,K,1.0
150,10,Dyson,45.0,K,3.5
151,8,Electrolux,41.0,M,3.0
152,8,Dyson,30.0,M,2.5
153,7,Electrolux,43.0,K,3.0
154,4,Beko,30.0,K,1.5
155,10,Dyson,24.0,K,3.5
156,6,Beko,38.0,K,2.5
157,5,Beko,45.0,M,4.0
158,7,Tefal,27.0,M,3.0
159,4,Beko,66.0,bd.,2.5
160,3,Samsung,47.0,M,2.5
161,7,Beko,35.0,K,0.0
162,8,Dyson,44.0,bd.,2.0
163,4,Tefal,,K,2.5
164,6,Beko,36.0,K,1.5
165,8,Beko,34.0,M,2.0
166,5,Dyson,23.0,bd.,1.5
167,2,Electrolux,29.0,bd.,3.0
168,8,Electrolux,35.0,M,3.0
169,9,Beko,27.0,bd.,1.5
170,6,Tefal,28.0,M,2.0
171,9,Dyson,36.0,M,3.0
172,5,Dyson,,M,1.5
173,7,Electrolux,31.0,M,1.5
174,8,Beko,39.0,K,3.5
175,4,Tefal,38.0,bd.,1.0
176,4,Beko,46.0,M,3.5
