,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,6,Tefal,43.0,K,2.5
1,9,Electrolux,35.0,bd.,3.5
2,3,Beko,40.0,bd.,3.5
3,3,Tefal,37.0,bd.,1.5
4,8,Tefal,34.0,K,2.5
5,9,Samsung,48.0,K,2.0
6,13,Beko,57.0,M,2.0
7,8,Electrolux,31.0,K,2.5
8,5,Electrolux,28.0,bd.,2.5
9,5,Tefal,51.0,K,4.0
10,4,Electrolux,27.0,K,1.0
11,9,Tefal,22.0,K,1.5
12,8,Tefal,33.0,K,2.5
13,6,Dyson,50.0,K,1.5
14,6,Tefal,26.0,K,1.5
15,4,Electrolux,37.0,K,1.5
16,9,Dyson,38.0,K,1.5
17,5,Electrolux,29.0,K,4.5
18,10,Tefal,,K,3.5
19,6,Tefal,31.0,K,5.0
20,11,Beko,,K,2.5
21,9,Electrolux,29.0,K,3.0
22,11,Tefal,45.0,bd.,1.5
23,12,Electrolux,46.0,M,1.5
24,12,Samsung,36.0,K,4.0
25,6,Samsung,46.0,K,3.0
26,10,Dyson,31.0,M,1.5
27,3,Tefal,55.0,K,3.0
28,7,Beko,64.0,bd.,5.0
29,4,Tefal,55.0,K,2.0
30,7,Tefal,55.0,K,3.5
31,8,Samsung,27.0,bd.,3.5
32,3,Electrolux,50.0,K,2.0
33,2,Electrolux,31.0,K,2.0
34,2,Tefal,38.0,K,2.5
35,6,Samsung,40.0,bd.,3.0
36,4,Samsung,39.0,K,5.0
37,8,Tefal,32.0,M,1.5
38,7,Tefal,34.0,K,2.5
39,9,Tefal,33.0,K,3.5
40,12,Tefal,,K,2.5
41,9,Tefal,57.0,K,1.5
42,14,Dyson,51.0,M,1.0
43,12,Tefal,29.0,K,5.0
44,6,Samsung,37.0,M,1.5
45,9,Electrolux,39.0,K,4.5
46,10,Dyson,38.0,K,2.0
47,5,Tefal,42.0,K,1.5
48,10,Dyson,29.0,K,1.5
49,7,Samsung,39.0,K,2.0
50,7,Tefal,28.0,K,1.0
51,6,Samsung,47.0,K,1.0
52,12,Samsung,49.0,K,1.0
53,9,Beko,31.0,K,4.0
54,4,Dyson,44.0,K,1.5
55,3,Electrolux,37.0,K,3.5
56,2,Tefal,33.0,M,3.5
57,8,Electrolux,35.0,M,2.0
58,7,Tefal,37.0,K,1.5
59,8,Electrolux,31.0,K,1.5
60,7,Samsung,42.0,bd.,2.5
61,8,Electrolux,30.0,K,1.0
62,10,Samsung,38.0,K,3.5
63,9,Tefal,45.0,K,2.0
64,8,Beko,36.0,M,3.5
65,8,Samsung,,K,1.5
66,3,Dyson,46.0,K,4.0
67,7,Samsung,47.0,K,4.5
68,10,Electrolux,,K,3.5
69,9,Dyson,64.0,K,2.5
70,10,Tefal,41.0,K,1.5
71,10,Electrolux,32.0,K,3.5
72,6,Tefal,35.0,bd.,1.0
73,9,Samsung,44.0,M,2.0
74,3,Samsung,,K,2.0
75,9,Electrolux,44.0,bd.,3.0
76,4,Tefal,35.0,bd.,2.0
77,9,Electrolux,35.0,K,2.5
78,9,Tefal,43.0,K,0.5
79,3,Tefal,44.0,M,2.0
80,6,Samsung,46.0,K,2.5
81,4,Samsung,31.0,bd.,2.0
82,8,Dyson,42.0,K,1.0
83,12,Electrolux,51.0,bd.,4.0
84,3,Tefal,60.0,K,3.0
85,6,Samsung,37.0,bd.,2.5
86,6,Beko,31.0,K,1.5
87,10,Beko,23.0,M,2.0
88,6,Tefal,40.0,K,2.0
89,7,Samsung,38.0,bd.,3.5
90,3,Dyson,27.0,K,2.0
91,1,Dyson,32.0,K,3.0
92,5,Electrolux,,M,0.5
93,4,Tefal,44.0,K,1.5
94,5,Dyson,35.0,K,1.5
95,9,Electrolux,19.0,K,4.0
96,4,Tefal,42.0,bd.,1.0
97,6,Electrolux,25.0,K,3.0
98,8,Tefal,42.0,K,4.0
99,6,Beko,48.0,K,2.5
100,6,Electrolux,54.0,M,1.5
101,11,Beko,58.0,K,1.0
102,8,Electrolux,56.0,bd.,1.0
103,7,Electrolux,30.0,bd.,3.5
104,4,Beko,,K,2.5
105,6,Samsung,50.0,K,1.5
106,9,Tefal,,K,3.0
107,7,Dyson,,K,2.5
108,6,Samsung,50.0,K,3.5
109,12,Electrolux,48.0,K,3.0
110,9,Dyson,,K,1.0
111,5,Electrolux,54.0,K,1.0
112,7,Dyson,33.0,M,2.0
113,4,Tefal,53.0,K,2.5
114,7,Electrolux,47.0,K,2.5
115,7,Tefal,,K,1.0
116,5,Dyson,56.0,K,1.5
117,10,Tefal,51.0,K,2.0
118,13,Samsung,40.0,K,2.5
119,4,Tefal,43.0,bd.,2.5
120,10,Tefal,34.0,K,2.5
121,6,Samsung,37.0,M,2.5
122,13,Tefal,51.0,K,2.5
123,7,Samsung,27.0,K,4.0
124,8,Tefal,45.0,K,4.5
125,10,Dyson,49.0,bd.,1.5
126,5,Samsung,42.0,M,4.0
127,4,Samsung,,M,2.5
128,6,Samsung,,K,2.5
129,5,Dyson,38.0,K,3.5
130,8,Samsung,43.0,K,2.5
131,6,Tefal,,K,1.5
132,5,Electrolux,56.0,K,5.0
133,4,Tefal,31.0,K,0.5
134,4,Dyson,62.0,bd.,2.0
135,7,Samsung,36.0,K,2.0
136,8,Samsung,44.0,K,2.5
137,7,Electrolux,31.0,K,1.0
138,4,Electrolux,43.0,K,3.0
139,7,Electrolux,36.0,K,1.5
140,6,Electrolux,60.0,K,0.5
141,8,Samsung,43.0,K,4.0
142,6,Dyson,31.0,K,2.5
143,7,Electrolux,27.0,M,3.0
144,3,Electrolux,55.0,K,5.0
145,8,Tefal,60.0,K,2.5
146,4,Beko,,K,4.0
147,7,Tefal,24.0,K,4.0
148,9,Electrolux,41.0,M,4.0
149,7,Electrolux,43.0,K,2.5
150,5,Tefal,48.0,K,2.5
151,13,Dyson,31.0,K,3.5
152,11,Dyson,45.0,K,4.0
153,5,Tefal,53.0,K,2.5
154,10,Tefal,22.0,K,2.5
155,3,Dyson,,K,1.5
156,5,Electrolux,40.0,bd.,1.5
157,7,Dyson,34.0,K,1.5
158,7,Dyson,41.0,K,0.5
159,6,Tefal,25.0,K,2.5
160,10,Samsung,43.0,M,2.0
161,9,Beko,57.0,K,1.5
162,7,Tefal,32.0,K,2.0
163,8,Dyson,26.0,M,1.5
164,6,Electrolux,40.0,K,1.0
165,8,Tefal,44.0,K,2.5
166,8,Dyson,34.0,K,5.0
167,8,Dyson,48.0,bd.,0.5
168,11,Samsung,38.0,M,4.0
169,2,Tefal,49.0,K,0.0
170,11,Tefal,38.0,bd.,2.0
171,8,Beko,53.0,K,4.0
172,3,Beko,37.0,K,1.0
173,7,Tefal,,K,2.5
174,7,Tefal,41.0,K,3.0
175,4,Samsung,38.0,M,1.5
176,7,Electrolux,19.0,K,1.0
177,5,Tefal,46.0,bd.,2.5
178,3,Electrolux,49.0,K,1.0
179,11,Tefal,29.0,K,4.0
180,3,Tefal,55.0,K,2.5
181,6,Electrolux,51.0,K,2.5
182,10,Tefal,34.0,K,3.0
183,3,Tefal,49.0,bd.,1.0
184,8,Electrolux,37.0,K,2.0
185,3,Electrolux,24.0,K,1.0
186,9,Samsung,39.0,K,0.0
187,10,Samsung,62.0,K,0.5
188,7,Samsung,42.0,M,2.5
189,4,Electrolux,49.0,K,1.0
190,5,Tefal,60.0,bd.,2.5
191,5,Electrolux,59.0,K,3.0
192,4,Tefal,35.0,K,3.0
193,5,Dyson,30.0,K,1.5
194,6,Tefal,51.0,K,3.0
195,3,Beko,32.0,K,1.5
196,3,Samsung,49.0,M,2.0
197,9,Dyson,47.0,K,4.0
198,6,Electrolux,38.0,K,0.0
199,3,Electrolux,,M,1.5
200,5,Samsung,29.0,K,1.0
201,6,Dyson,43.0,bd.,3.0
202,5,Beko,52.0,K,1.5
203,9,Samsung,39.0,bd.,3.0
204,7,Dyson,49.0,K,3.0
205,8,Beko,48.0,K,2.5
206,6,Samsung,45.0,M,2.0
207,6,Electrolux,,K,2.0
208,5,Beko,29.0,K,2.0
209,8,Beko,39.0,K,2.0
210,12,Samsung,39.0,M,1.5
211,9,Dyson,42.0,K,0.5
212,7,Dyson,42.0,K,1.5
213,6,Tefal,,K,2.5
214,3,Samsung,32.0,K,3.5
215,6,Dyson,37.0,K,2.5
216,9,Dyson,52.0,K,1.0
217,9,Samsung,47.0,M,1.5
218,4,Samsung,29.0,K,2.0
219,6,Dyson,34.0,K,2.5
220,2,Samsung,43.0,M,2.0
221,7,Samsung,36.0,K,2.0
222,7,Electrolux,41.0,K,4.0
223,7,Electrolux,47.0,K,3.0
224,6,Beko,53.0,M,1.5
225,8,Dyson,33.0,K,1.5
226,6,Samsung,35.0,K,1.0
227,11,Beko,49.0,K,3.0
228,3,Beko,38.0,bd.,0.5
229,4,Electrolux,37.0,bd.,3.5
230,3,Beko,39.0,K,3.0
231,16,Dyson,36.0,bd.,3.5
232,12,Tefal,31.0,K,1.5
233,7,Tefal,44.0,K,2.0
234,5,Electrolux,37.0,M,2.5
235,7,Dyson,33.0,K,3.5
236,3,Tefal,,bd.,1.0
237,6,Samsung,28.0,K,3.0
238,5,Electrolux,34.0,K,0.0
239,7,Tefal,33.0,K,3.5
240,6,Dyson,44.0,K,2.0
241,7,Dyson,36.0,K,2.0
242,11,Tefal,52.0,K,0.0
243,10,Electrolux,40.0,K,2.0
244,6,Dyson,46.0,M,2.0
245,6,Electrolux,37.0,bd.,4.0
246,6,Tefal,25.0,K,2.5
247,10,Samsung,37.0,K,3.0
248,9,Tefal,50.0,K,1.5
249,4,Electrolux,28.0,M,1.0
250,4,Tefal,39.0,K,0.5
251,11,Dyson,41.0,K,0.5
252,4,Tefal,42.0,K,3.5
253,8,Tefal,,bd.,2.5
254,10,Dyson,46.0,K,3.0
255,2,Tefal,,K,2.5
256,12,Tefal,38.0,K,2.5
257,2,Tefal,31.0,M,3.5
258,6,Samsung,25.0,K,3.5
259,7,Electrolux,26.0,K,2.5
260,8,Electrolux,19.0,K,3.0
261,10,Samsung,,K,4.0
262,7,Beko,49.0,bd.,2.0
263,5,Tefal,49.0,K,3.5
264,13,Dyson,47.0,K,1.0
265,10,Electrolux,24.0,K,1.0
266,6,Electrolux,44.0,bd.,2.0
267,5,Tefal,53.0,K,3.0
268,4,Dyson,41.0,K,3.0
269,12,Samsung,35.0,M,3.5
270,6,Dyson,21.0,bd.,2.5
271,9,Samsung,40.0,K,3.0
272,7,Samsung,57.0,bd.,3.0
273,7,Samsung,32.0,K,1.0
274,5,Tefal,38.0,K,3.0
275,5,Dyson,39.0,K,3.0
276,4,Dyson,45.0,K,2.0
277,15,Dyson,52.0,K,2.0
278,5,Samsung,42.0,K,3.5
279,5,Electrolux,,K,1.0
280,6,Samsung,44.0,bd.,1.0
281,9,Dyson,34.0,K,1.0
282,8,Samsung,32.0,K,2.5
283,8,Beko,38.0,K,2.0
284,5,Tefal,42.0,K,3.0
285,5,Electrolux,41.0,bd.,1.5
286,7,Tefal,51.0,K,3.5
287,3,Dyson,18.0,M,3.5
288,10,Electrolux,26.0,K,3.0
289,6,Electrolux,34.0,K,1.5
290,9,Dyson,,K,4.0
291,7,Dyson,50.0,M,3.5
292,15,Tefal,36.0,K,2.5
293,5,Tefal,47.0,K,2.0
294,8,Tefal,52.0,K,1.5
295,6,Samsung,55.0,M,2.0
296,5,Samsung,37.0,bd.,2.0
297,5,Beko,44.0,K,3.5
298,3,Samsung,34.0,K,1.0
299,4,Tefal,,K,1.5
300,8,Dyson,36.0,K,2.5
301,9,Electrolux,51.0,K,4.5
302,7,Tefal,35.0,K,1.5
303,16,Dyson,,M,1.5
304,4,Tefal,35.0,K,4.5
305,7,Electrolux,46.0,bd.,0.5
306,8,Electrolux,,bd.,2.5
307,9,Electrolux,38.0,bd.,2.0
308,6,Dyson,40.0,M,2.0
309,3,Tefal,44.0,K,2.5
310,7,Dyson,34.0,M,2.0
311,7,Samsung,31.0,M,0.5
312,7,Samsung,53.0,K,3.0
313,5,Electrolux,45.0,K,2.0
314,8,Tefal,47.0,K,2.0
315,4,Tefal,41.0,K,1.0
316,8,Beko,20.0,K,0.5
317,10,Tefal,49.0,K,4.0
318,12,Samsung,41.0,K,2.0
319,12,Tefal,49.0,K,1.5
320,6,Tefal,49.0,bd.,4.5
321,6,Tefal,36.0,K,5.0
322,6,Beko,20.0,M,1.0
323,9,Tefal,45.0,K,2.0
324,10,Electrolux,44.0,K,2.0
325,8,Electrolux,27.0,K,2.5
326,8,Dyson,,bd.,1.5
327,11,Tefal,34.0,K,5.0
328,1,Tefal,35.0,K,0.5
329,10,Electrolux,40.0,K,4.0
330,6,Samsung,47.0,K,1.0
331,10,Samsung,36.0,K,3.0
332,6,Samsung,43.0,K,3.0
333,5,Electrolux,43.0,bd.,5.0
334,7,Electrolux,45.0,K,0.5
335,9,Tefal,51.0,bd.,4.5
336,3,Beko,,K,3.5
337,13,Samsung,48.0,K,2.5
338,7,Tefal,,K,2.5
339,2,Samsung,37.0,K,3.5
340,8,Electrolux,37.0,K,2.0
341,9,Tefal,76.0,K,2.0
342,11,Samsung,49.0,K,2.5
343,9,Dyson,55.0,M,1.5
344,8,Tefal,,bd.,2.5
345,6,Tefal,32.0,bd.,1.5
346,6,Dyson,29.0,bd.,3.0
347,4,Samsung,32.0,K,1.0
348,7,Samsung,47.0,K,2.5
349,9,Dyson,42.0,K,4.5
350,7,Samsung,52.0,bd.,1.0
351,13,Electrolux,51.0,K,1.0
352,11,Beko,59.0,K,2.5
353,5,Tefal,37.0,bd.,2.0
354,4,Dyson,50.0,K,2.5
355,11,Tefal,,K,1.5
356,9,Dyson,37.0,K,1.0
357,10,Samsung,50.0,K,1.0
358,5,Samsung,49.0,K,3.5
359,4,Samsung,26.0,K,1.0
360,10,Beko,42.0,K,2.0
361,7,Dyson,29.0,bd.,2.0
362,6,Tefal,41.0,bd.,1.0
363,9,Dyson,43.0,K,1.0
364,7,Samsung,52.0,bd.,4.5
365,7,Samsung,50.0,K,2.5
366,5,Samsung,32.0,K,3.0
367,5,Tefal,48.0,K,3.5
368,8,Beko,52.0,K,3.0
369,7,Electrolux,47.0,bd.,2.0
370,8,Tefal,,K,2.5
371,7,Samsung,34.0,K,5.0
372,9,Tefal,47.0,K,1.5
373,5,Samsung,55.0,M,2.0
374,7,Samsung,33.0,K,3.5
375,5,Electrolux,,K,1.5
376,5,Tefal,58.0,K,1.5
377,7,Tefal,46.0,K,4.0
378,5,Beko,45.0,K,1.0
379,12,Electrolux,44.0,K,1.5
380,8,Tefal,33.0,K,2.0
381,6,Electrolux,,bd.,2.5
382,7,Electrolux,55.0,K,1.5
383,4,Beko,30.0,K,2.5
384,6,Electrolux,43.0,K,2.0
385,8,Dyson,42.0,M,2.5
386,7,Tefal,37.0,M,2.0
387,3,Beko,,K,1.5
388,3,Samsung,31.0,K,2.0
389,4,Tefal,41.0,K,2.0
390,6,Electrolux,41.0,K,3.0
391,13,Samsung,39.0,K,1.5
392,3,Samsung,37.0,K,2.0
393,1,Dyson,43.0,K,1.5
394,3,Tefal,36.0,K,3.5
395,8,Beko,28.0,K,3.0
396,6,Electrolux,,K,1.5
397,13,Samsung,48.0,M,3.5
398,9,Tefal,62.0,K,2.5
399,4,Dyson,42.0,bd.,1.5
400,6,Beko,41.0,M,2.0
401,6,Electrolux,43.0,K,2.0
402,15,Dyson,,M,2.5
403,7,Dyson,29.0,K,1.5
404,11,Electrolux,58.0,M,2.5
405,5,Samsung,42.0,K,3.0
406,6,Samsung,28.0,K,2.0
407,13,Beko,33.0,M,2.0
408,12,Tefal,39.0,K,4.0
409,8,Electrolux,,K,2.5
410,6,Electrolux,34.0,K,4.0
411,8,Dyson,38.0,K,2.5
412,9,Dyson,35.0,K,4.0
413,8,Samsung,42.0,bd.,2.0
414,5,Electrolux,48.0,bd.,1.5
415,2,Tefal,29.0,K,1.5
416,11,Beko,49.0,K,2.0
417,7,Dyson,36.0,K,1.0
418,6,Tefal,40.0,bd.,2.5
419,6,Tefal,36.0,K,4.5
420,8,Tefal,36.0,bd.,4.0
421,8,Tefal,38.0,K,2.5
422,5,Samsung,55.0,K,3.0
423,16,Tefal,25.0,K,4.0
424,5,Tefal,43.0,K,2.5
425,12,Dyson,34.0,M,2.5
426,8,Tefal,39.0,M,1.0
427,7,Samsung,28.0,K,2.5
428,8,Samsung,,bd.,1.0
429,3,Beko,31.0,M,2.5
430,6,Tefal,39.0,M,0.5
431,6,Samsung,43.0,K,2.5
432,10,Electrolux,,M,3.0
433,6,Samsung,32.0,K,2.0
434,9,Samsung,49.0,K,2.0
435,10,Tefal,56.0,K,1.0
436,7,Samsung,34.0,K,1.5
437,8,Tefal,36.0,bd.,4.5
438,8,Dyson,27.0,K,3.0
439,8,Tefal,,K,4.0
440,9,Tefal,55.0,bd.,2.0
441,4,Beko,40.0,M,5.0
442,10,Tefal,35.0,K,2.0
443,8,Dyson,,K,1.0
444,8,Dyson,,M,3.0
445,6,Samsung,52.0,bd.,2.5
446,2,Electrolux,44.0,K,1.0
447,5,Electrolux,33.0,K,3.5
448,7,Tefal,39.0,K,0.5
449,8,Samsung,42.0,bd.,3.0
450,4,Electrolux,,K,2.0
451,7,Electrolux,35.0,M,2.5
452,7,Samsung,41.0,K,2.5
453,8,Dyson,38.0,K,2.5
454,2,Dyson,47.0,bd.,1.0
455,4,Samsung,,K,2.5
456,11,Electrolux,38.0,K,0.5
457,4,Electrolux,,M,0.5
458,9,Electrolux,,K,3.5
459,4,Samsung,37.0,K,2.5
460,6,Dyson,31.0,M,3.0
461,9,Tefal,42.0,M,2.5
462,6,Tefal,35.0,bd.,2.5
463,9,Beko,26.0,K,1.5
464,8,Electrolux,51.0,M,3.0
465,6,Samsung,27.0,K,0.5
466,10,Samsung,21.0,K,2.5
467,8,Beko,44.0,K,3.5
468,6,Electrolux,45.0,K,3.5
469,5,Beko,,M,0.0
470,5,Samsung,34.0,K,4.0
471,8,Dyson,,K,3.5
472,6,Electrolux,36.0,M,2.0
473,5,Tefal,46.0,M,3.0
474,9,Dyson,39.0,bd.,2.0
475,10,Electrolux,,K,2.5
476,6,Tefal,36.0,K,0.5
477,6,Samsung,,K,2.5
478,14,Beko,28.0,bd.,2.0
479,4,Samsung,38.0,K,0.0
480,8,Electrolux,45.0,K,2.5
481,8,Tefal,32.0,M,2.5
482,8,Beko,47.0,K,4.0
483,5,Samsung,31.0,bd.,1.5
484,5,Dyson,57.0,K,0.5
485,8,Dyson,41.0,M,3.0
486,2,Samsung,34.0,M,3.0
487,6,Electrolux,39.0,bd.,1.0
488,11,Electrolux,49.0,bd.,2.0
489,15,Electrolux,44.0,M,2.5
490,5,Tefal,21.0,bd.,2.5
491,10,Tefal,27.0,K,4.0
492,8,Dyson,,K,3.5
493,7,Samsung,42.0,K,2.0
494,5,Electrolux,35.0,bd.,4.5
495,5,Tefal,39.0,bd.,1.5
496,5,Tefal,36.0,K,2.0
497,3,Tefal,29.0,K,1.0
498,9,Samsung,35.0,K,2.0
499,3,Samsung,41.0,bd.,1.0
500,6,Tefal,48.0,M,1.5
501,10,Samsung,49.0,K,3.5
502,2,Dyson,,K,2.5
503,6,Tefal,,K,0.5
504,8,Samsung,32.0,K,2.0
505,3,Beko,33.0,bd.,1.5
506,5,Electrolux,45.0,bd.,3.5
507,4,Tefal,35.0,bd.,2.0
508,5,Tefal,37.0,K,1.5
509,7,Beko,32.0,K,4.5
510,6,Dyson,42.0,K,3.0
511,7,Samsung,26.0,K,2.0
512,7,Tefal,50.0,M,3.0
513,6,Electrolux,58.0,K,1.0
514,6,Electrolux,39.0,K,2.0
515,6,Electrolux,45.0,K,2.5
516,5,Dyson,54.0,K,1.5
517,5,Samsung,42.0,K,1.5
518,5,Samsung,50.0,K,3.5
519,6,Electrolux,47.0,K,2.0
520,7,Tefal,36.0,bd.,3.0
521,12,Beko,35.0,K,3.5
522,9,Electrolux,18.0,K,3.0
523,7,Samsung,32.0,K,2.0
524,10,Samsung,20.0,K,2.0
