,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,13,Electrolux,38.0,K,2.5
1,6,Beko,30.0,K,2.0
2,6,Dyson,43.0,K,2.5
3,5,Beko,,M,3.0
4,10,Dyson,42.0,K,3.5
5,9,Dyson,49.0,K,1.0
6,9,Electrolux,,M,0.0
7,5,Dyson,51.0,bd.,3.0
8,5,Beko,43.0,K,1.0
9,5,Dyson,33.0,bd.,3.0
10,7,Beko,44.0,bd.,3.0
11,10,Beko,,K,4.0
12,6,Dyson,61.0,K,1.5
13,5,Dyson,,M,3.5
14,11,Electrolux,30.0,bd.,2.0
15,10,Dyson,,K,0.5
16,10,Electrolux,41.0,M,0.0
17,6,Dyson,52.0,M,2.0
18,7,Samsung,34.0,M,4.0
19,4,Tefal,54.0,K,2.0
20,6,Electrolux,32.0,K,2.5
21,6,Electrolux,33.0,M,3.0
22,10,Beko,46.0,bd.,4.0
23,5,Beko,55.0,M,2.5
24,13,Dyson,52.0,K,3.5
25,9,Dyson,34.0,K,4.0
26,7,Tefal,29.0,M,2.0
27,3,Samsung,37.0,bd.,2.5
28,6,Electrolux,52.0,M,3.5
29,16,Samsung,36.0,K,1.5
30,7,Tefal,46.0,M,1.5
31,4,Dyson,44.0,K,3.0
32,4,Dyson,49.0,K,2.5
33,5,Dyson,38.0,M,1.5
34,7,Dyson,35.0,K,3.0
35,4,Dyson,39.0,M,2.5
36,9,Dyson,,K,2.0
37,5,Beko,35.0,K,2.0
38,9,Dyson,28.0,K,2.0
39,6,Dyson,26.0,bd.,0.0
40,10,Dyson,48.0,K,3.0
41,3,Electrolux,25.0,K,3.5
42,5,Dyson,52.0,K,3.0
43,10,Dyson,30.0,bd.,2.5
44,6,Dyson,37.0,K,2.0
45,6,Tefal,49.0,bd.,2.5
46,8,Dyson,38.0,M,3.0
47,7,Electrolux,59.0,K,4.5
48,12,Dyson,43.0,K,3.5
49,8,Tefal,,bd.,1.0
50,7,Samsung,44.0,K,3.5
51,8,Beko,,K,3.0
52,5,Dyson,,K,2.0
