,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,4,Samsung,39.0,M,2.0
1,7,Dyson,39.0,M,1.0
2,5,Dyson,34.0,K,2.0
3,8,Samsung,,K,1.0
4,4,Dyson,42.0,M,0.5
5,5,Dyson,,K,2.0
6,9,Samsung,60.0,M,3.5
7,9,Electrolux,48.0,M,1.5
8,6,Samsung,39.0,M,4.0
9,6,Beko,,K,4.0
10,4,Dyson,37.0,M,1.5
11,5,Dyson,39.0,M,5.0
12,3,Dyson,23.0,M,3.0
13,7,Electrolux,45.0,K,3.5
14,8,Tefal,43.0,M,1.0
15,2,Dyson,36.0,K,3.5
16,3,Dyson,52.0,M,1.5
17,9,Samsung,46.0,K,1.5
18,4,Electrolux,34.0,M,0.5
19,5,Samsung,34.0,M,2.0
20,7,Beko,39.0,M,3.0
21,7,Samsung,31.0,K,1.0
22,4,Beko,47.0,M,1.0
23,8,Dyson,39.0,K,1.0
24,3,Electrolux,38.0,M,2.5
25,6,Samsung,61.0,K,0.5
26,9,Electrolux,,M,5.0
27,7,Samsung,45.0,K,3.0
28,5,Dyson,42.0,K,3.5
29,8,Dyson,44.0,M,2.0
30,8,Samsung,,K,2.5
31,12,Dyson,45.0,M,3.0
32,13,Dyson,51.0,K,2.0
33,6,Dyson,37.0,K,3.5
34,5,Samsung,45.0,K,1.0
35,9,Beko,29.0,M,1.5
36,5,Beko,40.0,M,1.5
37,8,Beko,33.0,K,3.5
38,10,Samsung,28.0,K,2.0
39,13,Samsung,52.0,M,4.0
40,9,Electrolux,57.0,M,3.0
41,12,Electrolux,28.0,M,1.0
42,7,Dyson,48.0,K,2.0
43,7,Electrolux,45.0,M,0.5
44,9,Electrolux,,M,2.5
45,9,Dyson,25.0,M,3.0
46,8,Beko,48.0,M,3.5
47,6,Dyson,36.0,M,4.5
48,12,Samsung,40.0,M,2.0
49,9,Beko,,M,2.0
50,6,Samsung,35.0,M,1.0
51,5,Beko,44.0,M,2.0
52,7,Electrolux,50.0,K,2.0
53,8,Samsung,29.0,M,2.0
54,9,Dyson,29.0,M,2.0
55,16,Dyson,28.0,K,3.0
56,5,Dyson,37.0,M,2.0
57,9,Beko,45.0,M,2.0
58,8,Samsung,48.0,K,1.5
59,9,Samsung,25.0,M,3.5
60,4,Samsung,28.0,K,3.0
61,6,Beko,51.0,M,2.5
62,11,Beko,37.0,K,2.5
63,6,Dyson,19.0,K,2.5
64,7,Beko,50.0,M,3.5
65,8,Dyson,42.0,K,2.0
66,6,Samsung,47.0,M,0.0
67,8,Samsung,42.0,M,4.5
68,7,Samsung,,bd.,3.0
69,12,Samsung,45.0,M,3.5
70,6,Electrolux,29.0,M,2.5
71,8,Samsung,45.0,M,2.0
72,8,Tefal,,M,2.5
73,1,Electrolux,49.0,M,5.0
74,7,Beko,,K,2.5
75,7,Beko,22.0,M,3.0
76,8,Electrolux,25.0,K,4.0
77,6,Electrolux,31.0,M,1.0
78,6,Samsung,31.0,K,2.0
79,9,Dyson,28.0,M,0.5
80,6,Electrolux,44.0,M,1.0
81,7,Samsung,43.0,K,2.5
82,6,Dyson,50.0,M,4.0
83,8,Dyson,43.0,M,1.5
84,8,Dyson,39.0,K,4.0
85,10,Dyson,,M,2.5
86,1,Tefal,40.0,M,2.5
87,8,Dyson,,M,2.0
88,6,Dyson,47.0,K,2.0
89,7,Dyson,43.0,K,4.5
90,3,Samsung,25.0,K,2.5
91,10,Dyson,49.0,M,1.0
92,7,Dyson,38.0,K,3.5
93,8,Electrolux,35.0,K,3.0
94,6,Dyson,40.0,M,3.5
95,2,Samsung,49.0,K,3.0
96,6,Samsung,48.0,K,1.0
97,7,Dyson,44.0,K,1.5
98,5,Dyson,28.0,K,0.5
99,17,Samsung,30.0,M,1.0
100,10,Samsung,32.0,M,3.5
101,8,Electrolux,66.0,M,1.0
102,11,Dyson,38.0,M,5.0
103,5,Dyson,53.0,M,1.5
104,10,Dyson,,K,4.5
105,6,Dyson,48.0,M,1.5
106,7,Dyson,40.0,K,2.5
107,8,Samsung,36.0,M,2.0
108,13,Beko,36.0,M,2.5
109,5,Dyson,32.0,K,3.0
110,11,Dyson,35.0,M,1.0
111,3,Samsung,40.0,M,2.5
112,9,Dyson,,M,2.0
113,6,Samsung,55.0,M,3.0
114,6,Tefal,45.0,M,3.5
115,3,Dyson,46.0,K,1.5
116,5,Dyson,46.0,M,1.0
117,7,Samsung,23.0,M,3.0
118,5,Dyson,52.0,M,3.0
119,6,Samsung,38.0,M,3.5
120,8,Dyson,34.0,M,2.0
121,6,Dyson,40.0,M,2.5
122,6,Samsung,31.0,K,1.0
123,6,Dyson,38.0,M,2.5
124,4,Dyson,42.0,K,3.5
125,2,Samsung,46.0,K,1.0
126,11,Samsung,32.0,M,4.5
127,5,Samsung,29.0,M,4.0
128,11,Dyson,58.0,M,1.5
129,4,Dyson,25.0,K,1.0
130,8,Dyson,43.0,K,4.0
131,9,Samsung,20.0,M,2.5
132,8,Dyson,,M,2.0
133,8,Samsung,49.0,M,2.5
134,12,Dyson,46.0,M,1.5
135,3,Tefal,36.0,M,2.5
136,9,Dyson,25.0,M,2.5
137,6,Beko,,M,3.0
138,4,Dyson,30.0,M,0.0
139,3,Electrolux,42.0,K,3.0
140,9,Dyson,38.0,M,3.0
141,6,Samsung,60.0,M,5.0
142,6,Electrolux,38.0,M,3.0
143,10,Dyson,47.0,M,2.5
144,5,Beko,47.0,M,3.5
145,7,Samsung,44.0,M,2.5
146,7,Samsung,19.0,K,3.5
147,10,Dyson,56.0,K,2.0
148,4,Dyson,44.0,M,1.0
149,10,Samsung,31.0,K,4.5
150,7,Dyson,33.0,K,2.0
151,6,Dyson,20.0,M,4.0
152,8,Dyson,,M,2.5
153,8,Dyson,31.0,M,5.0
154,9,Tefal,40.0,M,1.5
155,8,Dyson,57.0,M,4.0
156,7,Samsung,49.0,K,4.0
157,3,Dyson,32.0,K,2.0
158,9,Beko,47.0,K,3.0
159,10,Dyson,,K,1.0
160,9,Dyson,30.0,K,2.0
161,8,Electrolux,29.0,M,2.5
162,7,Electrolux,28.0,K,2.0
163,10,Dyson,,M,3.0
164,5,Samsung,,K,1.5
165,6,Dyson,35.0,M,3.0
166,9,Samsung,47.0,M,2.0
167,8,Samsung,44.0,M,3.5
168,9,Electrolux,23.0,K,2.0
169,4,Beko,41.0,K,2.5
170,6,Dyson,36.0,M,1.5
171,8,Beko,43.0,M,4.0
