,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,3,Beko,35.0,bd.,3.0
1,8,Dyson,48.0,M,4.0
2,9,Electrolux,41.0,M,3.0
3,6,Electrolux,29.0,K,2.0
4,10,Tefal,49.0,K,5.0
5,10,Samsung,53.0,K,2.5
6,8,Electrolux,28.0,K,1.5
7,8,Tefal,35.0,K,3.5
8,2,Tefal,28.0,K,3.0
9,9,Electrolux,36.0,M,1.0
10,6,Electrolux,47.0,bd.,3.0
11,9,Electrolux,36.0,M,4.5
12,7,Electrolux,41.0,M,3.0
13,6,Electrolux,33.0,bd.,1.0
14,4,Electrolux,43.0,M,2.5
15,4,Tefal,35.0,bd.,3.5
16,2,Electrolux,43.0,M,2.0
17,6,Tefal,32.0,M,2.0
18,6,Samsung,39.0,K,3.0
19,11,Samsung,46.0,bd.,0.5
20,10,Samsung,29.0,K,2.0
21,3,Electrolux,41.0,K,2.5
22,5,Electrolux,47.0,M,2.5
23,4,Electrolux,39.0,M,4.0
24,12,Tefal,47.0,M,1.5
25,10,Tefal,53.0,K,4.0
26,13,Dyson,30.0,M,3.5
27,9,Electrolux,,M,3.0
28,9,Electrolux,47.0,bd.,3.5
29,7,Tefal,37.0,M,2.0
30,5,Electrolux,39.0,M,1.5
31,4,Tefal,,M,3.5
32,4,Tefal,,bd.,2.0
33,6,Tefal,38.0,K,0.0
34,4,Electrolux,49.0,bd.,2.0
35,5,Electrolux,23.0,M,3.0
36,4,Electrolux,61.0,bd.,3.5
37,7,Beko,23.0,M,1.5
38,12,Samsung,,K,3.5
39,4,Electrolux,42.0,K,4.0
40,7,Tefal,,M,1.5
41,11,Samsung,42.0,K,2.0
42,7,Electrolux,52.0,K,2.5
43,7,Samsung,48.0,K,2.0
44,9,Electrolux,32.0,bd.,1.5
45,11,Electrolux,34.0,bd.,4.0
46,5,Electrolux,25.0,bd.,2.5
47,10,Electrolux,46.0,K,2.5
48,8,Electrolux,,M,3.0
49,10,Tefal,32.0,M,2.0
50,8,Dyson,42.0,bd.,4.0
51,4,Electrolux,36.0,M,3.0
52,5,Beko,28.0,bd.,1.0
53,13,Electrolux,40.0,K,3.5
54,8,Samsung,41.0,M,1.5
55,6,Electrolux,,bd.,3.0
56,5,Electrolux,28.0,bd.,4.0
57,3,Electrolux,43.0,K,2.5
58,5,Beko,38.0,M,3.5
59,10,Electrolux,34.0,K,2.5
60,5,Beko,48.0,M,4.0
61,7,Electrolux,23.0,K,2.5
62,7,Samsung,26.0,K,3.5
63,5,Electrolux,34.0,K,2.5
64,5,Samsung,38.0,M,1.0
65,12,Electrolux,47.0,K,2.5
66,7,Electrolux,36.0,M,2.5
67,8,Electrolux,26.0,M,2.0
68,5,Tefal,,K,2.5
69,4,Dyson,59.0,K,0.5
70,4,Dyson,,bd.,1.5
71,7,Electrolux,34.0,M,1.5
72,6,Tefal,38.0,M,1.5
73,6,Beko,39.0,K,2.0
74,12,Electrolux,47.0,M,2.5
75,5,Electrolux,33.0,K,3.0
76,9,Electrolux,28.0,K,2.5
77,3,Tefal,34.0,M,1.5
78,7,Electrolux,37.0,K,3.0
79,7,Samsung,27.0,M,2.5
80,12,Samsung,45.0,M,3.0
81,10,Tefal,35.0,K,3.5
82,6,Electrolux,41.0,K,3.5
83,11,Electrolux,,bd.,3.5
84,6,Samsung,33.0,K,2.0
85,2,Beko,,K,4.0
86,8,Tefal,,K,3.0
87,10,Dyson,40.0,bd.,2.5
88,6,Tefal,,bd.,3.0
89,6,Electrolux,49.0,K,0.5
90,6,Tefal,33.0,bd.,3.5
91,4,Beko,32.0,bd.,3.0
92,7,Beko,,K,2.5
93,6,Tefal,25.0,bd.,0.0
94,7,Tefal,42.0,M,4.0
95,6,Tefal,41.0,bd.,3.0
96,9,Tefal,46.0,bd.,1.5
97,5,Electrolux,65.0,K,0.0
98,8,Dyson,28.0,K,3.0
99,7,Samsung,42.0,K,2.5
100,3,Tefal,43.0,M,1.5
101,7,Beko,37.0,M,3.0
102,5,Electrolux,38.0,M,2.5
103,11,Tefal,,K,1.5
104,8,Electrolux,39.0,K,1.0
105,7,Tefal,35.0,K,3.0
106,5,Tefal,47.0,K,2.0
107,7,Dyson,51.0,K,2.0
108,9,Electrolux,56.0,K,1.0
109,9,Electrolux,42.0,K,3.5
110,9,Dyson,36.0,M,1.5
111,4,Samsung,,K,2.5
112,8,Dyson,26.0,M,3.0
113,5,Samsung,,K,2.0
114,6,Electrolux,33.0,bd.,2.0
115,10,Tefal,33.0,M,3.0
116,6,Dyson,39.0,K,4.5
117,6,Electrolux,43.0,M,1.0
118,7,Tefal,,K,4.0
119,6,Electrolux,37.0,K,3.0
120,7,Samsung,,bd.,2.5
121,7,Electrolux,38.0,bd.,3.0
122,8,Electrolux,42.0,M,2.0
123,8,Beko,30.0,bd.,3.5
124,4,Electrolux,30.0,M,3.0
125,9,Electrolux,49.0,M,1.5
126,4,Electrolux,44.0,bd.,2.0
127,3,Electrolux,43.0,K,3.0
128,6,Electrolux,42.0,K,4.0
129,10,Tefal,,K,3.0
130,11,Electrolux,39.0,bd.,3.0
131,9,Dyson,27.0,bd.,4.0
132,5,Dyson,34.0,K,0.5
133,4,Electrolux,23.0,K,1.5
134,6,Electrolux,33.0,bd.,4.0
135,12,Electrolux,,M,1.5
136,9,Electrolux,51.0,M,1.5
137,9,Tefal,42.0,M,2.0
138,7,Samsung,46.0,K,2.0
139,11,Tefal,30.0,K,2.5
140,8,Dyson,47.0,K,2.5
141,8,Electrolux,,K,1.0
142,4,Dyson,,bd.,2.5
143,3,Samsung,57.0,M,3.5
144,12,Tefal,26.0,M,4.0
145,8,Samsung,47.0,K,4.0
146,6,Beko,44.0,M,4.0
147,5,Electrolux,38.0,K,2.0
148,7,Samsung,39.0,M,5.0
149,9,Tefal,47.0,bd.,3.0
150,7,Dyson,44.0,K,1.5
151,10,Tefal,38.0,K,4.0
152,12,Tefal,,K,4.0
153,8,Electrolux,30.0,bd.,2.0
154,9,Dyson,42.0,K,1.5
155,9,Tefal,38.0,M,5.0
156,7,Electrolux,28.0,K,1.5
157,8,Electrolux,39.0,K,1.0
158,8,Samsung,38.0,bd.,3.0
159,4,Beko,39.0,bd.,1.5
160,8,Beko,19.0,M,2.0
161,11,Electrolux,38.0,M,3.0
162,3,Tefal,40.0,M,2.5
163,4,Electrolux,32.0,bd.,1.5
164,9,Tefal,45.0,M,2.5
165,11,Electrolux,30.0,M,1.0
166,11,Electrolux,36.0,M,2.0
167,9,Tefal,52.0,bd.,1.0
168,6,Samsung,44.0,M,2.0
169,6,Electrolux,36.0,M,1.5
170,6,Samsung,46.0,bd.,1.5
171,7,Electrolux,36.0,K,2.5
172,6,Electrolux,,K,2.0
173,7,Samsung,49.0,M,2.0
174,4,Dyson,42.0,K,3.0
175,6,Electrolux,48.0,M,4.0
176,6,Dyson,49.0,K,1.0
177,6,Electrolux,37.0,K,2.0
178,7,Samsung,61.0,M,3.5
179,7,Tefal,44.0,K,2.0
180,6,Samsung,41.0,M,2.5
181,4,Electrolux,31.0,K,3.0
182,7,Electrolux,48.0,M,0.5
183,16,Electrolux,58.0,M,1.5
184,3,Tefal,36.0,bd.,2.0
185,6,Dyson,50.0,M,3.0
186,5,Samsung,35.0,bd.,3.5
187,6,Tefal,,M,3.0
188,9,Electrolux,48.0,M,4.0
189,6,Tefal,38.0,M,1.0
190,3,Electrolux,44.0,K,3.0
191,8,Beko,52.0,K,3.5
192,8,Electrolux,57.0,bd.,2.5
193,3,Electrolux,52.0,K,2.0
194,10,Beko,47.0,M,4.0
195,3,Electrolux,34.0,bd.,4.5
196,6,Samsung,45.0,M,3.5
197,7,Electrolux,28.0,K,2.0
198,6,Tefal,25.0,M,2.5
