,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,5,Electrolux,30.0,M,2.5
1,7,Electrolux,26.0,M,1.5
2,10,Beko,60.0,bd.,3.0
3,9,Dyson,47.0,M,4.5
4,5,Electrolux,39.0,M,1.5
5,8,Samsung,60.0,bd.,2.0
6,6,Electrolux,,M,2.5
7,4,Electrolux,41.0,bd.,1.5
8,16,Electrolux,51.0,M,3.0
9,7,Electrolux,40.0,M,0.5
10,5,Tefal,48.0,M,3.0
11,4,Dyson,41.0,M,2.5
12,13,Dyson,20.0,bd.,4.0
13,6,Dyson,52.0,M,3.5
14,7,Electrolux,31.0,bd.,3.0
15,7,Beko,36.0,M,1.5
16,8,Electrolux,41.0,M,3.5
17,3,Electrolux,50.0,M,0.5
18,8,Electrolux,,bd.,2.0
19,5,Electrolux,42.0,M,2.0
20,11,Electrolux,45.0,M,1.5
21,6,Beko,41.0,M,3.0
22,14,Electrolux,51.0,M,0.5
23,9,Dyson,40.0,bd.,1.5
24,6,Electrolux,42.0,M,4.5
25,6,Beko,39.0,M,3.5
26,3,Electrolux,26.0,bd.,2.0
27,5,Beko,40.0,K,2.5
28,10,Electrolux,,K,3.5
29,13,Electrolux,33.0,M,1.0
30,11,Electrolux,,M,4.5
31,4,Dyson,37.0,bd.,1.5
32,12,Electrolux,53.0,bd.,2.0
33,6,Dyson,40.0,M,2.5
34,7,Electrolux,37.0,M,1.0
35,10,Electrolux,20.0,M,1.5
36,7,Electrolux,37.0,bd.,3.0
37,9,Dyson,53.0,bd.,3.5
38,5,Electrolux,30.0,M,2.5
39,6,Electrolux,40.0,M,3.0
40,9,Dyson,56.0,M,2.5
41,7,Electrolux,45.0,bd.,2.0
42,5,Tefal,40.0,M,3.0
43,6,Dyson,28.0,bd.,2.0
44,6,Electrolux,46.0,bd.,2.5
45,12,Electrolux,29.0,M,1.5
46,11,Electrolux,56.0,K,2.0
47,4,Dyson,40.0,M,1.5
48,8,Dyson,40.0,M,3.5
49,8,Electrolux,43.0,bd.,3.5
50,4,Electrolux,,M,5.0
51,8,Electrolux,51.0,M,1.5
52,4,Electrolux,37.0,M,1.5
53,8,Tefal,45.0,M,2.0
54,12,Electrolux,34.0,bd.,1.5
55,5,Tefal,40.0,M,1.5
56,7,Tefal,50.0,M,1.5
57,8,Dyson,32.0,M,0.5
58,6,Electrolux,46.0,bd.,2.5
59,6,Electrolux,38.0,bd.,2.0
60,7,Electrolux,33.0,K,2.5
61,3,Electrolux,45.0,M,2.0
62,5,Electrolux,39.0,bd.,4.5
63,7,Electrolux,41.0,bd.,2.0
64,6,Dyson,47.0,M,1.5
65,9,Electrolux,32.0,bd.,1.5
66,12,Electrolux,39.0,M,2.5
67,6,Dyson,42.0,bd.,3.0
68,7,Electrolux,40.0,M,2.0
69,9,Electrolux,30.0,K,5.0
70,6,Electrolux,60.0,M,3.0
71,5,Electrolux,,M,2.0
72,9,Electrolux,61.0,M,3.5
73,7,Electrolux,,M,2.0
74,7,Electrolux,40.0,K,3.5
75,4,Electrolux,27.0,bd.,2.0
76,13,Electrolux,33.0,M,4.5
77,8,Electrolux,44.0,bd.,3.5
78,5,Dyson,34.0,M,1.5
79,5,Electrolux,33.0,M,4.5
80,7,Electrolux,47.0,M,4.0
81,5,Dyson,32.0,M,1.0
82,12,Tefal,35.0,bd.,1.5
83,3,Electrolux,59.0,M,1.5
84,4,Electrolux,25.0,M,2.5
85,8,Electrolux,49.0,M,1.5
86,5,Tefal,39.0,M,2.0
87,8,Electrolux,52.0,M,3.5
88,5,Electrolux,55.0,M,1.5
89,7,Electrolux,33.0,bd.,3.0
90,4,Electrolux,44.0,bd.,3.5
91,8,Dyson,61.0,K,3.5
92,11,Electrolux,30.0,M,5.0
93,6,Electrolux,45.0,M,5.0
94,5,Tefal,23.0,bd.,3.0
95,10,Samsung,41.0,bd.,3.0
96,11,Electrolux,57.0,K,1.5
97,9,Electrolux,62.0,M,1.5
98,3,Electrolux,46.0,M,2.5
99,3,Electrolux,42.0,M,2.5
100,4,Dyson,,M,3.5
101,6,Electrolux,50.0,M,2.5
102,2,Electrolux,38.0,M,2.0
103,9,Electrolux,18.0,K,2.0
104,5,Dyson,32.0,bd.,2.5
105,9,Beko,34.0,K,4.0
106,3,Electrolux,33.0,M,2.0
107,8,Tefal,26.0,bd.,4.0
108,4,Electrolux,41.0,M,2.0
109,5,Electrolux,53.0,M,4.5
110,7,Samsung,30.0,bd.,4.0
111,5,Electrolux,39.0,bd.,3.0
112,8,Beko,47.0,M,2.5
113,4,Electrolux,30.0,M,4.0
114,12,Dyson,44.0,M,1.0
115,6,Tefal,20.0,M,1.5
116,5,Electrolux,52.0,M,4.5
117,8,Samsung,43.0,M,2.0
118,13,Electrolux,53.0,K,1.5
119,10,Electrolux,,bd.,2.5
120,15,Electrolux,51.0,M,2.5
121,7,Electrolux,44.0,M,3.5
122,3,Dyson,53.0,bd.,2.5
123,4,Electrolux,64.0,M,4.0
124,9,Dyson,22.0,M,3.5
125,4,Electrolux,37.0,M,3.0
126,7,Electrolux,50.0,K,1.5
127,6,Electrolux,29.0,K,2.5
128,9,Dyson,55.0,K,5.0
129,4,Electrolux,54.0,M,1.5
130,5,Samsung,46.0,M,2.5
131,8,Electrolux,40.0,M,1.0
132,14,Tefal,40.0,M,1.5
133,11,Tefal,52.0,M,1.5
134,9,Tefal,52.0,M,4.5
135,7,Electrolux,31.0,M,3.5
136,9,Electrolux,40.0,M,5.0
137,6,Electrolux,,M,4.5
138,7,Electrolux,51.0,M,2.5
139,10,Electrolux,35.0,M,1.5
140,5,Electrolux,21.0,M,2.0
141,11,Electrolux,29.0,M,2.5
142,10,Electrolux,28.0,M,0.0
143,8,Electrolux,35.0,K,4.0
144,10,Electrolux,41.0,bd.,3.0
145,7,Samsung,46.0,bd.,4.5
146,5,Electrolux,49.0,bd.,1.0
147,9,Electrolux,36.0,M,3.5
148,4,Dyson,28.0,bd.,3.0
149,5,Tefal,39.0,M,1.0
150,5,Samsung,57.0,M,1.5
151,7,Beko,59.0,bd.,4.5
152,6,Dyson,28.0,bd.,2.5
153,10,Electrolux,,K,1.0
154,7,Electrolux,40.0,bd.,2.0
155,10,Electrolux,41.0,bd.,2.0
156,5,Electrolux,54.0,M,3.0
157,11,Samsung,,bd.,3.5
158,6,Electrolux,27.0,M,3.5
159,7,Electrolux,,bd.,2.5
160,7,Dyson,41.0,M,1.0
161,6,Electrolux,33.0,M,1.5
162,4,Electrolux,38.0,bd.,4.5
163,7,Electrolux,55.0,M,0.0
164,8,Electrolux,30.0,M,2.5
165,5,Electrolux,33.0,bd.,2.5
166,15,Electrolux,23.0,bd.,2.5
167,6,Electrolux,25.0,M,2.0
168,4,Electrolux,43.0,M,2.5
169,4,Electrolux,53.0,bd.,3.0
170,6,Dyson,31.0,M,3.0
171,6,Electrolux,41.0,M,2.5
172,8,Electrolux,45.0,M,4.5
173,2,Electrolux,32.0,bd.,2.5
174,4,Electrolux,39.0,K,2.0
175,6,Electrolux,55.0,M,4.0
176,12,Samsung,43.0,M,3.5
177,4,Tefal,23.0,M,3.0
178,9,Electrolux,48.0,M,2.0
179,5,Beko,41.0,bd.,4.0
180,5,Electrolux,61.0,bd.,1.5
181,8,Samsung,32.0,M,1.5
182,4,Samsung,30.0,M,0.0
183,3,Electrolux,34.0,M,2.0
184,5,Electrolux,34.0,M,1.5
185,8,Electrolux,47.0,bd.,2.5
186,5,Electrolux,40.0,M,2.5
187,9,Tefal,48.0,M,4.5
188,6,Electrolux,37.0,M,0.5
189,8,Electrolux,35.0,M,2.0
190,12,Dyson,,M,2.0
191,11,Samsung,40.0,M,2.0
192,4,Electrolux,40.0,M,2.5
193,7,Electrolux,38.0,M,3.0
194,5,Electrolux,34.0,M,3.0
195,8,Electrolux,34.0,M,2.0
196,9,Electrolux,22.0,M,1.0
197,8,Electrolux,37.0,M,1.0
198,8,Tefal,45.0,bd.,2.5
199,6,Electrolux,40.0,bd.,2.0
200,4,Electrolux,27.0,M,1.5
201,8,Electrolux,39.0,M,2.0
202,6,Dyson,36.0,K,2.0
203,7,Tefal,32.0,M,2.0
204,3,Electrolux,51.0,M,0.5
205,12,Electrolux,53.0,bd.,2.0
206,8,Electrolux,52.0,bd.,2.0
207,7,Electrolux,22.0,M,3.0
208,15,Dyson,39.0,bd.,1.5
209,8,Samsung,53.0,bd.,3.0
210,7,Dyson,37.0,bd.,1.5
211,8,Tefal,53.0,bd.,2.5
212,7,Tefal,53.0,M,2.5
213,6,Samsung,29.0,M,2.0
