,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,9,Beko,42.0,M,1.5
1,7,Dyson,56.0,M,3.5
2,9,Beko,33.0,M,2.0
3,8,Beko,41.0,M,5.0
4,8,Tefal,24.0,M,2.5
5,14,Beko,,M,2.0
6,9,Samsung,61.0,M,1.5
7,5,Beko,41.0,bd.,5.0
8,9,Beko,40.0,M,3.5
9,9,Electrolux,56.0,M,1.5
10,7,Samsung,48.0,M,0.0
11,2,Beko,35.0,M,4.0
12,7,Beko,35.0,M,2.0
13,12,Beko,37.0,M,3.0
14,4,Samsung,31.0,M,3.0
15,11,Beko,38.0,M,3.5
16,11,Samsung,37.0,M,2.0
17,11,Beko,42.0,M,2.5
18,4,Beko,30.0,M,5.0
19,10,Beko,39.0,M,2.0
20,14,Beko,54.0,M,5.0
21,10,Dyson,46.0,M,1.0
22,6,Samsung,38.0,M,1.5
23,4,Beko,37.0,M,3.0
24,7,Beko,39.0,M,0.5
25,11,Dyson,31.0,M,4.0
26,3,Beko,40.0,M,2.0
27,10,Beko,35.0,M,2.5
28,5,Beko,39.0,M,2.5
29,7,Beko,37.0,M,1.0
30,8,Beko,46.0,M,2.5
31,3,Beko,46.0,M,3.0
32,13,Samsung,44.0,M,2.0
33,9,Beko,52.0,M,2.0
34,5,Beko,47.0,M,0.5
35,12,Beko,36.0,M,2.0
36,10,Beko,53.0,M,2.5
37,4,Beko,33.0,M,1.5
38,6,Beko,44.0,M,2.5
39,9,Samsung,,M,4.5
40,6,Beko,31.0,M,2.0
41,4,Beko,29.0,M,3.5
42,7,Beko,,M,3.0
43,8,Beko,53.0,M,1.0
44,6,Beko,43.0,M,1.5
45,10,Beko,,M,3.5
46,7,Beko,32.0,M,2.0
47,5,Beko,23.0,M,1.5
48,7,Beko,42.0,M,3.5
49,5,Beko,33.0,M,2.5
50,5,Beko,42.0,M,0.0
51,11,Beko,42.0,M,0.5
52,6,Beko,19.0,M,3.5
53,9,Beko,29.0,M,4.0
54,5,Beko,37.0,M,5.0
55,8,Beko,37.0,M,1.5
56,8,Samsung,41.0,M,3.5
57,5,Beko,18.0,bd.,1.0
58,4,Beko,42.0,M,3.0
59,10,Electrolux,53.0,M,2.5
60,6,Beko,46.0,M,3.5
61,9,Beko,42.0,M,2.5
62,10,Dyson,45.0,K,3.5
63,5,Beko,39.0,M,2.5
64,7,Samsung,,M,1.5
65,11,Beko,38.0,M,1.5
66,5,Beko,30.0,M,2.0
67,4,Samsung,37.0,M,4.5
68,8,Beko,51.0,M,3.0
69,5,Beko,49.0,M,2.0
70,7,Beko,42.0,M,1.0
71,10,Beko,43.0,M,1.5
72,11,Beko,43.0,M,2.5
73,6,Beko,26.0,M,3.5
74,10,Beko,,M,3.0
75,6,Samsung,32.0,M,2.5
76,10,Beko,52.0,M,2.0
77,2,Electrolux,29.0,M,1.0
78,6,Beko,30.0,M,2.5
79,7,Beko,20.0,M,5.0
80,6,Beko,54.0,M,2.5
81,7,Beko,41.0,M,1.5
82,11,Beko,,bd.,2.0
83,7,Beko,41.0,M,3.5
84,6,Beko,44.0,M,3.0
85,6,Samsung,49.0,M,2.5
86,7,Beko,39.0,M,1.5
87,4,Beko,25.0,M,3.0
88,9,Beko,41.0,M,3.5
89,6,Beko,43.0,M,3.0
90,8,Beko,54.0,M,1.5
91,7,Beko,36.0,M,3.5
92,8,Beko,38.0,M,2.0
93,6,Samsung,37.0,M,1.0
94,8,Beko,23.0,M,1.5
95,10,Beko,41.0,M,1.0
96,9,Beko,,M,4.0
97,8,Beko,30.0,M,2.0
98,6,Beko,40.0,M,3.5
99,9,Beko,30.0,M,2.5
100,8,Samsung,,M,2.0
101,5,Beko,44.0,M,2.0
102,8,Beko,39.0,M,3.5
103,6,Samsung,36.0,M,2.5
104,4,Beko,42.0,M,2.5
105,10,Beko,47.0,M,4.5
106,4,Beko,70.0,bd.,4.0
107,11,Samsung,31.0,M,2.5
108,9,Samsung,28.0,M,1.0
109,5,Beko,27.0,M,2.5
110,7,Beko,42.0,M,3.0
