,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,11,Dyson,54.0,K,5.0
1,8,Tefal,48.0,bd.,2.5
2,8,Samsung,66.0,M,1.0
3,8,Samsung,43.0,bd.,2.5
4,3,Samsung,24.0,bd.,1.5
5,5,Samsung,26.0,K,5.0
6,5,Samsung,20.0,bd.,3.0
7,9,Tefal,62.0,M,4.5
8,7,Electrolux,34.0,K,1.5
9,5,Dyson,47.0,bd.,3.0
10,7,Electrolux,42.0,K,4.0
11,10,Dyson,47.0,bd.,2.5
12,5,Samsung,36.0,bd.,3.5
13,3,Samsung,49.0,bd.,3.5
14,8,Beko,34.0,bd.,1.5
15,9,Samsung,44.0,bd.,2.5
16,6,Samsung,51.0,bd.,2.5
17,9,Samsung,38.0,K,2.5
18,4,Beko,,K,2.5
19,7,Tefal,52.0,K,1.5
20,9,Samsung,36.0,K,3.0
21,10,Samsung,66.0,bd.,2.0
22,6,Samsung,41.0,K,3.0
23,4,Samsung,26.0,K,2.0
24,9,Tefal,,bd.,3.0
25,4,Samsung,35.0,bd.,2.5
26,17,Samsung,48.0,bd.,0.0
27,8,Samsung,45.0,K,4.0
28,7,Dyson,47.0,bd.,3.0
29,7,Tefal,52.0,K,5.0
30,10,Dyson,56.0,bd.,3.0
31,10,Tefal,38.0,bd.,1.5
32,10,Samsung,30.0,bd.,3.0
33,5,Dyson,37.0,M,3.5
34,11,Dyson,51.0,K,0.5
35,4,Tefal,36.0,bd.,1.5
36,6,Dyson,41.0,bd.,1.0
37,6,Electrolux,33.0,bd.,4.0
38,9,Dyson,,bd.,2.5
39,4,Samsung,39.0,K,0.0
40,5,Samsung,32.0,bd.,2.5
41,7,Samsung,57.0,K,2.0
42,13,Dyson,22.0,M,2.5
43,3,Samsung,37.0,bd.,5.0
44,4,Dyson,46.0,K,1.0
45,7,Samsung,,K,3.0
46,6,Dyson,47.0,K,2.0
47,7,Samsung,42.0,K,3.5
48,7,Samsung,54.0,K,1.5
49,7,Samsung,,K,0.0
50,14,Samsung,35.0,M,3.5
51,4,Electrolux,22.0,K,2.0
52,8,Tefal,42.0,bd.,2.5
53,13,Beko,30.0,bd.,1.5
54,10,Tefal,49.0,K,3.0
55,11,Dyson,50.0,K,2.0
56,4,Samsung,41.0,bd.,1.0
57,9,Dyson,39.0,K,3.0
58,6,Tefal,65.0,M,1.5
59,7,Dyson,20.0,K,2.5
60,7,Samsung,51.0,bd.,4.0
61,8,Samsung,39.0,K,1.0
62,3,Samsung,,bd.,2.0
63,2,Dyson,34.0,K,4.0
64,6,Samsung,36.0,K,0.5
65,6,Samsung,35.0,bd.,2.5
66,7,Samsung,33.0,bd.,2.5
67,16,Samsung,45.0,bd.,1.5
68,3,Dyson,40.0,K,1.5
69,2,Tefal,44.0,K,2.0
70,8,Samsung,32.0,bd.,2.0
71,11,Beko,42.0,K,3.5
72,6,Beko,,bd.,2.0
73,5,Beko,33.0,bd.,2.0
74,9,Tefal,54.0,bd.,1.0
75,7,Samsung,53.0,bd.,3.0
76,9,Samsung,40.0,K,1.5
77,8,Samsung,59.0,bd.,4.0
78,6,Tefal,31.0,M,2.5
79,6,Tefal,49.0,M,2.5
80,2,Samsung,35.0,bd.,1.0
81,8,Samsung,32.0,K,1.0
82,7,Dyson,31.0,bd.,1.5
83,7,Samsung,37.0,K,1.0
84,7,Dyson,50.0,bd.,2.5
85,6,Samsung,41.0,bd.,2.0
86,6,Samsung,23.0,K,3.0
87,2,Samsung,21.0,bd.,2.0
88,6,Samsung,57.0,bd.,2.0
89,6,Beko,30.0,bd.,2.0
90,9,Beko,41.0,bd.,3.5
91,10,Tefal,31.0,M,1.5
92,8,Samsung,35.0,M,2.0
93,5,Samsung,26.0,bd.,1.5
94,9,Tefal,63.0,K,3.5
95,9,Samsung,45.0,K,3.0
96,6,Dyson,34.0,K,1.0
97,7,Tefal,,K,0.0
98,9,Samsung,,K,2.0
99,6,Beko,31.0,K,2.0
100,5,Tefal,33.0,bd.,2.5
101,12,Tefal,48.0,bd.,2.5
102,11,Samsung,36.0,bd.,0.0
103,5,Tefal,,K,1.0
104,8,Samsung,40.0,K,2.5
105,7,Samsung,48.0,M,3.0
106,12,Samsung,29.0,M,2.0
107,7,Samsung,40.0,bd.,1.0
108,9,Dyson,,bd.,2.5
109,6,Dyson,33.0,bd.,1.0
110,8,Samsung,44.0,bd.,3.5
111,8,Samsung,,K,2.5
112,4,Samsung,36.0,K,1.0
113,9,Tefal,24.0,K,4.5
114,9,Beko,48.0,bd.,2.0
115,5,Dyson,39.0,K,0.5
116,5,Samsung,27.0,bd.,2.0
117,4,Dyson,29.0,K,1.0
118,10,Tefal,,bd.,0.5
119,6,Samsung,47.0,K,3.0
120,5,Dyson,31.0,K,2.0
121,3,Tefal,49.0,bd.,3.5
122,11,Tefal,44.0,K,2.5
123,4,Samsung,28.0,K,2.5
124,9,Samsung,,bd.,2.5
125,6,Samsung,33.0,K,3.5
126,6,Beko,23.0,K,2.5
127,4,Samsung,52.0,bd.,2.0
128,7,Samsung,37.0,K,1.0
129,4,Samsung,47.0,bd.,2.5
130,4,Samsung,28.0,K,3.0
131,5,Samsung,28.0,bd.,5.0
132,4,Samsung,60.0,K,2.0
133,8,Samsung,43.0,K,0.5
134,7,Samsung,26.0,K,2.0
135,7,Samsung,31.0,bd.,1.5
136,9,Tefal,57.0,K,1.5
137,9,Samsung,54.0,K,3.5
138,9,Samsung,37.0,K,2.5
139,6,Samsung,30.0,K,0.5
140,6,Dyson,45.0,K,5.0
141,3,Samsung,42.0,K,1.0
142,8,Tefal,39.0,bd.,4.0
143,2,Tefal,25.0,bd.,2.5
144,13,Beko,51.0,bd.,2.5
145,12,Samsung,37.0,bd.,2.0
146,4,Dyson,39.0,bd.,3.0
147,7,Tefal,61.0,bd.,2.5
148,9,Tefal,25.0,bd.,3.5
149,5,Dyson,30.0,K,4.5
150,9,Tefal,35.0,bd.,2.0
151,2,Dyson,43.0,K,3.0
152,9,Dyson,22.0,bd.,2.5
153,9,Tefal,42.0,K,2.5
154,7,Samsung,28.0,K,2.5
155,7,Samsung,20.0,M,3.0
156,5,Tefal,,K,5.0
157,5,Tefal,25.0,bd.,3.5
158,9,Samsung,26.0,K,2.5
159,6,Tefal,33.0,M,3.0
160,7,Samsung,36.0,K,1.0
161,5,Samsung,48.0,bd.,0.0
162,4,Electrolux,,bd.,1.5
163,6,Dyson,36.0,M,2.5
164,5,Dyson,25.0,K,4.5
165,11,Tefal,41.0,K,5.0
166,5,Samsung,,M,4.0
167,9,Dyson,48.0,K,2.5
168,5,Samsung,57.0,M,2.0
169,5,Samsung,43.0,bd.,1.5
170,4,Dyson,57.0,K,2.5
171,7,Beko,,M,1.0
172,7,Samsung,48.0,bd.,2.5
173,4,Electrolux,28.0,bd.,1.5
174,7,Samsung,36.0,K,1.5
175,6,Tefal,40.0,K,3.5
176,8,Samsung,34.0,K,2.5
177,7,Samsung,41.0,M,3.0
178,7,Samsung,44.0,bd.,1.0
179,7,Samsung,32.0,bd.,3.0
180,6,Samsung,35.0,M,3.0
181,10,Samsung,,K,0.0
182,9,Samsung,37.0,M,2.0
183,4,Samsung,45.0,bd.,3.0
184,6,Samsung,48.0,bd.,3.0
185,7,Dyson,36.0,K,2.5
186,9,Samsung,25.0,bd.,1.5
187,8,Samsung,39.0,K,2.5
188,7,Beko,30.0,K,1.5
189,5,Electrolux,,bd.,2.0
190,10,Samsung,44.0,bd.,2.5
191,9,Tefal,50.0,M,1.5
192,7,Electrolux,,K,5.0
193,8,Samsung,42.0,K,2.5
194,4,Samsung,52.0,K,2.5
195,9,Samsung,56.0,bd.,3.0
196,9,Samsung,34.0,K,5.0
197,9,Tefal,39.0,bd.,4.0
198,5,Samsung,34.0,bd.,3.5
199,11,Samsung,40.0,K,2.5
200,7,Beko,27.0,K,1.0
201,10,Samsung,39.0,M,3.5
202,7,Tefal,44.0,K,3.5
203,4,Dyson,,K,2.0
204,10,Tefal,55.0,bd.,2.5
