,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,8,Tefal,,bd.,1.5
1,6,Tefal,39.0,bd.,1.0
2,5,Dyson,35.0,bd.,1.5
3,8,Dyson,43.0,bd.,1.5
4,8,Beko,,bd.,2.5
5,9,Electrolux,44.0,bd.,1.0
6,11,Dyson,45.0,bd.,3.0
7,8,Electrolux,,bd.,0.5
8,7,Tefal,45.0,bd.,3.0
9,5,Electrolux,58.0,K,3.5
10,3,Tefal,,K,2.0
11,5,Beko,31.0,bd.,3.5
12,5,Beko,40.0,K,2.0
13,4,Dyson,,M,2.0
14,3,Dyson,47.0,M,2.5
15,7,Tefal,30.0,M,1.5
16,7,Dyson,44.0,M,2.0
17,5,Dyson,40.0,bd.,3.0
18,7,Tefal,,M,2.0
19,4,Beko,,M,3.0
20,12,Dyson,47.0,K,3.0
21,7,Dyson,62.0,K,1.5
22,8,Dyson,35.0,K,2.0
23,8,Electrolux,,M,4.0
24,10,Dyson,39.0,bd.,2.0
25,3,Tefal,29.0,M,1.5
26,8,Beko,46.0,M,2.0
27,10,Electrolux,51.0,bd.,3.5
28,6,Tefal,38.0,M,3.0
29,3,Dyson,44.0,bd.,1.5
30,7,Dyson,40.0,M,1.5
31,7,Tefal,37.0,M,3.5
32,9,Dyson,28.0,bd.,0.5
33,10,Dyson,,K,2.5
34,1,Tefal,,bd.,1.5
35,9,Dyson,59.0,bd.,3.5
36,9,Tefal,42.0,K,4.0
37,6,Tefal,31.0,K,1.0
38,6,Tefal,40.0,bd.,4.5
39,6,Tefal,33.0,M,1.0
40,10,Electrolux,41.0,K,1.0
41,9,Beko,37.0,bd.,3.0
42,3,Tefal,,K,3.5
43,10,Dyson,39.0,M,2.5
44,10,Beko,53.0,K,1.5
45,6,Electrolux,40.0,M,3.0
46,7,Tefal,40.0,bd.,3.5
47,5,Electrolux,,bd.,0.5
48,9,Dyson,,bd.,5.0
49,5,Electrolux,50.0,bd.,1.5
50,5,Dyson,33.0,bd.,3.0
51,5,Tefal,36.0,bd.,1.0
52,4,Tefal,46.0,M,2.5
53,5,Electrolux,32.0,K,3.5
54,5,Tefal,23.0,K,2.5
55,7,Tefal,29.0,bd.,4.5
56,7,Beko,,bd.,2.0
57,4,Beko,31.0,K,1.5
58,7,Dyson,45.0,K,2.0
59,7,Beko,46.0,M,3.0
60,8,Tefal,26.0,bd.,1.0
61,10,Electrolux,49.0,K,3.0
62,7,Tefal,50.0,M,1.0
63,8,Beko,40.0,bd.,1.0
64,7,Electrolux,,M,5.0
65,7,Dyson,43.0,K,1.5
66,1,Dyson,44.0,M,0.5
67,6,Dyson,48.0,K,2.5
68,11,Dyson,35.0,bd.,1.0
69,8,Beko,24.0,M,2.5
70,6,Tefal,53.0,bd.,2.5
71,8,Dyson,24.0,bd.,2.0
72,7,Tefal,32.0,bd.,2.5
73,6,Tefal,,K,2.0
74,12,Electrolux,39.0,K,2.0
75,6,Tefal,59.0,bd.,3.0
76,5,Dyson,48.0,M,3.0
77,12,Dyson,39.0,bd.,2.5
78,10,Tefal,28.0,M,1.5
79,5,Tefal,52.0,K,0.5
80,8,Tefal,,M,2.0
81,12,Tefal,23.0,M,5.0
82,7,Dyson,21.0,K,1.5
83,11,Tefal,49.0,M,5.0
84,8,Electrolux,,bd.,1.0
85,4,Beko,37.0,K,3.0
86,8,Tefal,41.0,M,1.5
87,8,Electrolux,24.0,M,2.0
88,5,Tefal,51.0,M,1.0
89,11,Tefal,51.0,bd.,1.5
90,9,Tefal,38.0,bd.,2.5
91,8,Tefal,49.0,M,1.0
92,11,Tefal,,bd.,2.5
93,7,Tefal,33.0,K,3.5
94,9,Tefal,35.0,M,3.5
95,5,Tefal,18.0,bd.,4.5
96,5,Beko,52.0,M,3.5
97,10,Tefal,31.0,M,2.0
98,11,Dyson,37.0,bd.,2.5
99,11,Dyson,,K,3.0
100,5,Tefal,31.0,bd.,1.5
101,8,Beko,42.0,bd.,4.5
102,8,Beko,42.0,bd.,1.5
103,3,Beko,42.0,bd.,2.5
104,6,Dyson,30.0,bd.,4.0
105,6,Tefal,41.0,bd.,1.5
106,6,Electrolux,,K,2.5
107,5,Electrolux,39.0,bd.,2.0
108,7,Tefal,56.0,K,1.0
109,14,Beko,41.0,M,2.5
110,4,Dyson,,bd.,3.5
111,8,Beko,42.0,bd.,0.5
112,4,Electrolux,27.0,bd.,0.5
113,5,Dyson,40.0,bd.,3.0
114,6,Tefal,25.0,bd.,3.0
115,9,Electrolux,22.0,bd.,3.0
116,4,Tefal,,M,1.5
117,8,Beko,42.0,bd.,3.5
118,2,Tefal,32.0,M,4.0
119,9,Dyson,52.0,bd.,3.0
120,8,Tefal,,bd.,1.5
121,7,Dyson,55.0,bd.,4.0
122,9,Beko,29.0,K,5.0
123,11,Tefal,52.0,M,4.5
124,9,Beko,19.0,M,2.0
125,10,Dyson,56.0,K,1.0
126,10,Dyson,42.0,M,1.0
127,9,Dyson,,bd.,2.5
128,5,Tefal,41.0,K,3.0
129,7,Electrolux,46.0,bd.,2.0
130,6,Electrolux,38.0,bd.,2.0
131,8,Tefal,39.0,K,2.5
132,13,Tefal,24.0,M,3.0
133,4,Electrolux,44.0,bd.,3.0
134,10,Dyson,43.0,M,3.0
135,10,Dyson,39.0,bd.,3.0
136,4,Tefal,40.0,M,2.0
137,5,Beko,38.0,bd.,2.0
138,9,Dyson,39.0,bd.,3.0
139,5,Dyson,48.0,bd.,3.0
140,5,Dyson,,K,4.5
141,3,Tefal,41.0,M,1.5
142,10,Tefal,32.0,K,3.5
143,6,Dyson,45.0,bd.,2.0
144,10,Beko,,bd.,4.0
145,13,Tefal,49.0,K,3.0
146,5,Dyson,37.0,K,0.5
147,6,Beko,,bd.,2.5
148,12,Electrolux,60.0,bd.,2.5
149,5,Tefal,49.0,K,2.0
150,9,Tefal,24.0,K,3.0
151,4,Dyson,38.0,bd.,3.0
152,9,Tefal,29.0,bd.,3.0
153,7,Beko,57.0,bd.,2.5
154,9,Tefal,35.0,K,2.0
155,10,Dyson,40.0,M,2.5
156,8,Dyson,22.0,bd.,0.5
157,8,Tefal,45.0,M,1.5
158,4,Dyson,54.0,bd.,1.5
159,7,Tefal,41.0,K,1.5
160,3,Tefal,37.0,K,3.5
161,4,Dyson,35.0,M,1.5
162,8,Dyson,,M,1.5
163,7,Dyson,41.0,M,1.0
164,10,Dyson,43.0,K,1.0
165,4,Tefal,28.0,M,3.5
166,5,Dyson,41.0,bd.,2.0
167,9,Dyson,60.0,bd.,2.0
168,6,Electrolux,32.0,M,2.5
169,1,Tefal,45.0,bd.,4.0
170,11,Beko,42.0,bd.,3.0
171,8,Tefal,51.0,M,2.5
172,10,Samsung,,bd.,2.0
173,4,Tefal,,M,5.0
174,2,Dyson,34.0,K,1.0
175,5,Tefal,52.0,bd.,4.5
176,8,Beko,46.0,bd.,2.5
177,8,Tefal,29.0,bd.,3.0
178,12,Electrolux,36.0,bd.,4.5
179,2,Tefal,43.0,bd.,1.0
180,5,Tefal,44.0,bd.,4.5
181,6,Tefal,42.0,bd.,3.5
182,9,Tefal,47.0,bd.,3.0
183,4,Dyson,,bd.,4.5
184,9,Dyson,,bd.,3.0
185,3,Tefal,63.0,M,2.0
186,9,Dyson,47.0,bd.,1.5
187,8,Beko,25.0,bd.,1.0
188,4,Electrolux,35.0,M,1.0
189,6,Tefal,35.0,M,2.0
190,5,Tefal,25.0,K,3.0
191,12,Tefal,38.0,bd.,2.0
192,8,Tefal,33.0,bd.,1.0
193,11,Dyson,39.0,K,4.5
194,13,Dyson,47.0,M,2.5
195,4,Dyson,29.0,bd.,3.0
196,7,Dyson,40.0,K,3.0
197,11,Dyson,45.0,bd.,3.0
198,4,Electrolux,35.0,K,3.5
199,5,Dyson,,bd.,5.0
200,12,Dyson,44.0,bd.,1.5
201,8,Beko,50.0,bd.,3.5
202,14,Dyson,59.0,K,3.0
203,9,Tefal,41.0,M,2.5
204,9,Electrolux,32.0,bd.,2.5
205,6,Tefal,39.0,K,3.0
206,11,Dyson,53.0,K,2.5
207,6,Tefal,50.0,bd.,4.0
208,9,Beko,48.0,bd.,1.0
209,6,Tefal,37.0,bd.,1.5
210,2,Beko,40.0,bd.,2.5
211,4,Electrolux,35.0,bd.,5.0
212,8,Dyson,25.0,bd.,1.5
213,7,Dyson,38.0,K,3.0
214,11,Tefal,44.0,M,3.0
215,5,Dyson,42.0,bd.,3.5
216,3,Dyson,41.0,bd.,0.0
217,7,Tefal,44.0,bd.,1.5
218,6,Electrolux,24.0,K,2.0
219,7,Electrolux,45.0,M,2.0
220,2,Dyson,31.0,bd.,3.0
221,12,Tefal,39.0,bd.,4.5
222,8,Electrolux,34.0,K,3.5
223,3,Tefal,33.0,K,2.0
224,5,Dyson,,M,3.0
225,10,Beko,38.0,K,3.0
226,9,Tefal,38.0,M,3.5
227,4,Dyson,,bd.,2.5
228,11,Tefal,50.0,M,0.0
229,8,Dyson,50.0,M,4.0
230,7,Dyson,37.0,M,2.0
231,4,Dyson,48.0,M,2.5
232,9,Tefal,46.0,K,3.0
233,4,Tefal,,bd.,1.0
234,5,Beko,33.0,K,2.0
235,6,Beko,22.0,M,1.0
236,8,Beko,34.0,M,2.5
237,7,Beko,60.0,bd.,2.5
238,6,Tefal,46.0,K,2.0
239,4,Dyson,23.0,M,3.5
240,3,Tefal,40.0,M,1.5
241,5,Tefal,51.0,K,1.0
242,7,Tefal,37.0,M,3.0
243,6,Tefal,40.0,bd.,2.5
244,2,Beko,32.0,K,3.0
245,6,Electrolux,33.0,bd.,4.0
246,8,Electrolux,49.0,M,1.5
247,6,Tefal,31.0,M,2.0
248,5,Electrolux,39.0,M,2.5
249,5,Tefal,22.0,M,5.0
250,8,Dyson,48.0,bd.,2.0
251,8,Electrolux,54.0,bd.,1.5
252,9,Beko,44.0,bd.,1.0
253,2,Tefal,46.0,K,3.0
254,11,Tefal,21.0,K,2.0
255,11,Dyson,36.0,bd.,1.5
256,6,Electrolux,41.0,M,2.0
257,3,Tefal,51.0,K,1.5
258,3,Beko,40.0,bd.,1.5
259,13,Dyson,43.0,M,2.5
260,14,Tefal,,bd.,2.0
261,6,Electrolux,36.0,K,3.0
262,7,Tefal,32.0,M,3.0
263,2,Tefal,30.0,bd.,1.0
264,3,Tefal,52.0,bd.,2.0
265,8,Electrolux,52.0,M,2.5
266,6,Dyson,27.0,bd.,2.0
267,0,Electrolux,25.0,bd.,1.5
268,3,Tefal,48.0,bd.,2.0
269,5,Dyson,,bd.,2.5
270,7,Dyson,33.0,K,3.0
271,8,Beko,38.0,K,2.5
272,5,Dyson,29.0,bd.,0.5
273,8,Dyson,33.0,bd.,1.5
274,5,Tefal,51.0,K,3.0
275,4,Tefal,28.0,M,4.5
276,9,Beko,53.0,bd.,4.0
277,6,Dyson,33.0,bd.,4.0
278,4,Dyson,30.0,bd.,3.0
279,4,Tefal,37.0,bd.,2.0
280,10,Tefal,36.0,K,2.0
281,12,Dyson,48.0,bd.,2.5
282,8,Dyson,35.0,K,2.0
283,4,Tefal,56.0,bd.,2.5
284,8,Tefal,37.0,M,5.0
285,5,Tefal,55.0,M,3.5
286,8,Beko,45.0,bd.,2.0
287,5,Tefal,36.0,K,2.5
288,12,Electrolux,37.0,M,4.0
289,5,Tefal,30.0,bd.,4.5
290,10,Dyson,32.0,M,2.5
291,11,Dyson,35.0,M,2.5
292,5,Electrolux,35.0,M,3.0
293,5,Tefal,44.0,bd.,3.0
294,8,Electrolux,49.0,M,2.5
295,10,Dyson,44.0,bd.,1.5
296,4,Tefal,50.0,M,3.5
297,10,Tefal,39.0,bd.,2.5
298,6,Dyson,27.0,M,2.5
299,12,Tefal,,bd.,4.0
300,9,Tefal,43.0,bd.,3.0
301,8,Dyson,44.0,M,2.5
302,6,Dyson,46.0,bd.,0.5
303,7,Dyson,54.0,bd.,1.5
304,4,Electrolux,50.0,bd.,1.5
305,3,Beko,,K,2.5
306,6,Electrolux,35.0,bd.,1.5
307,9,Dyson,,bd.,3.0
308,5,Tefal,37.0,K,3.0
309,5,Samsung,,K,4.5
310,7,Dyson,36.0,K,3.0
311,8,Dyson,41.0,bd.,2.5
312,12,Dyson,,M,3.0
313,3,Dyson,51.0,bd.,3.0
314,6,Tefal,,M,2.0
315,11,Dyson,46.0,K,4.0
316,8,Samsung,37.0,bd.,0.0
317,8,Tefal,29.0,M,2.0
318,4,Dyson,26.0,K,2.5
319,8,Beko,38.0,bd.,2.5
320,5,Dyson,48.0,bd.,2.5
321,6,Electrolux,37.0,bd.,1.5
322,10,Tefal,49.0,bd.,2.0
323,6,Tefal,55.0,M,1.0
324,9,Beko,,bd.,4.0
325,11,Beko,51.0,K,2.0
326,8,Dyson,37.0,K,3.0
327,9,Tefal,41.0,bd.,3.5
328,4,Beko,48.0,bd.,1.5
329,6,Beko,32.0,K,3.0
330,3,Dyson,41.0,M,4.5
331,5,Dyson,,M,1.5
332,8,Dyson,24.0,bd.,2.5
333,8,Electrolux,34.0,K,2.5
334,9,Electrolux,36.0,M,3.5
335,10,Tefal,58.0,bd.,3.5
336,11,Dyson,35.0,bd.,2.5
337,3,Tefal,44.0,K,2.5
338,7,Dyson,39.0,bd.,1.5
339,12,Tefal,31.0,K,3.0
340,6,Tefal,46.0,M,2.0
341,3,Dyson,50.0,K,0.0
342,5,Dyson,39.0,M,3.5
343,6,Tefal,27.0,K,1.5
344,8,Dyson,54.0,M,2.0
345,9,Samsung,55.0,bd.,2.0
346,4,Tefal,42.0,bd.,1.0
347,4,Dyson,22.0,M,1.0
348,7,Dyson,44.0,M,4.5
349,7,Tefal,40.0,bd.,5.0
350,6,Tefal,37.0,bd.,2.5
351,6,Dyson,,bd.,3.5
352,6,Tefal,50.0,bd.,2.0
353,11,Tefal,50.0,K,1.5
354,6,Tefal,28.0,M,2.5
355,9,Electrolux,18.0,bd.,3.0
356,6,Dyson,26.0,M,4.0
357,8,Dyson,40.0,bd.,3.0
358,8,Dyson,33.0,bd.,2.5
359,13,Tefal,34.0,bd.,2.0
360,7,Electrolux,47.0,K,3.0
361,6,Tefal,38.0,bd.,2.5
362,10,Electrolux,26.0,bd.,1.0
363,10,Beko,43.0,K,1.0
364,5,Dyson,48.0,M,2.5
365,12,Dyson,30.0,M,2.5
366,6,Tefal,46.0,bd.,2.5
367,8,Electrolux,33.0,M,2.0
368,7,Dyson,25.0,K,3.0
369,7,Beko,48.0,bd.,2.0
370,6,Tefal,38.0,K,2.0
371,3,Tefal,30.0,bd.,5.0
372,6,Dyson,,M,2.0
373,5,Beko,31.0,bd.,3.5
374,13,Dyson,46.0,M,1.0
375,7,Beko,51.0,bd.,5.0
376,10,Tefal,38.0,K,1.5
377,3,Dyson,33.0,bd.,3.0
378,13,Dyson,,M,2.0
379,9,Electrolux,45.0,bd.,4.5
380,7,Dyson,58.0,bd.,3.5
381,7,Tefal,28.0,M,1.0
382,7,Dyson,37.0,bd.,5.0
383,6,Beko,57.0,bd.,3.0
384,6,Beko,50.0,bd.,1.5
385,6,Tefal,38.0,bd.,1.0
386,6,Dyson,51.0,bd.,2.0
387,10,Dyson,36.0,bd.,1.0
388,3,Beko,32.0,bd.,3.5
389,6,Tefal,32.0,bd.,5.0
390,5,Dyson,27.0,bd.,3.0
391,4,Electrolux,25.0,M,2.5
392,10,Tefal,,M,2.0
393,7,Dyson,,bd.,4.0
394,12,Electrolux,52.0,M,4.0
395,7,Dyson,19.0,K,3.0
396,5,Electrolux,40.0,M,2.5
397,8,Tefal,30.0,bd.,2.0
398,6,Electrolux,31.0,bd.,3.5
399,7,Tefal,55.0,K,3.5
400,5,Tefal,50.0,M,1.5
401,6,Beko,41.0,bd.,2.0
402,2,Tefal,45.0,M,2.0
403,3,Beko,51.0,M,4.0
404,10,Electrolux,38.0,K,5.0
405,5,Tefal,71.0,M,2.5
406,10,Tefal,33.0,K,2.0
407,13,Dyson,28.0,M,1.5
408,7,Tefal,30.0,bd.,2.5
