,Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
0,4,Beko,29.0,bd.,4.5
1,3,Electrolux,39.0,M,2.5
2,6,Electrolux,49.0,bd.,2.0
3,3,Beko,41.0,M,3.5
4,11,Electrolux,40.0,bd.,3.0
5,10,Beko,41.0,K,1.5
6,10,Electrolux,37.0,bd.,3.0
7,12,Electrolux,,bd.,1.5
8,10,Dyson,45.0,M,1.5
9,12,Beko,31.0,M,2.0
10,3,Electrolux,21.0,K,2.0
11,5,Electrolux,64.0,bd.,5.0
12,5,Beko,35.0,bd.,4.0
13,8,Electrolux,39.0,M,3.5
14,6,Electrolux,60.0,bd.,1.5
15,9,Electrolux,28.0,M,2.5
16,8,Beko,51.0,M,2.5
17,3,Dyson,56.0,bd.,3.0
18,7,Dyson,48.0,bd.,4.5
19,9,Tefal,33.0,K,2.5
20,7,Beko,48.0,M,3.0
21,5,Beko,31.0,M,2.5
22,10,Dyson,32.0,M,2.5
23,7,Electrolux,38.0,bd.,2.0
24,6,Beko,57.0,bd.,0.5
25,8,Beko,49.0,M,0.5
26,4,Tefal,38.0,M,2.0
27,10,Beko,40.0,bd.,2.0
28,9,Beko,50.0,bd.,2.5
29,15,Electrolux,47.0,K,2.5
30,6,Electrolux,29.0,K,3.5
31,6,Samsung,46.0,M,2.5
32,8,Samsung,46.0,M,2.0
33,5,Dyson,29.0,M,1.5
34,4,Beko,46.0,M,4.0
35,3,Dyson,22.0,bd.,3.5
36,9,Samsung,54.0,M,3.0
37,15,Electrolux,29.0,M,2.5
38,11,Samsung,40.0,M,5.0
39,10,Electrolux,37.0,bd.,1.5
40,5,Electrolux,31.0,M,2.0
41,5,Beko,52.0,M,2.5
42,7,Electrolux,27.0,bd.,3.0
43,3,Samsung,35.0,bd.,2.0
44,8,Beko,51.0,bd.,1.5
45,7,Electrolux,29.0,M,1.0
46,3,Electrolux,23.0,bd.,1.0
47,5,Beko,36.0,M,2.0
48,2,Tefal,24.0,K,1.5
49,5,Dyson,43.0,bd.,4.5
50,8,Electrolux,47.0,M,2.0
51,11,Dyson,30.0,M,3.0
52,4,Dyson,32.0,bd.,4.0
53,7,Beko,44.0,M,2.0
54,13,Electrolux,45.0,bd.,1.5
55,11,Tefal,38.0,M,1.5
56,6,Electrolux,,bd.,3.0
57,4,Dyson,34.0,bd.,1.0
58,5,Beko,37.0,M,3.0
59,9,Dyson,43.0,M,1.5
60,2,Beko,,M,2.5
61,8,Beko,48.0,M,1.5
62,13,Dyson,27.0,bd.,2.5
63,9,Beko,49.0,bd.,2.5
64,4,Electrolux,,K,3.5
65,7,Beko,43.0,M,3.5
66,8,Beko,37.0,bd.,2.0
67,5,Beko,,bd.,2.5
68,7,Electrolux,55.0,bd.,3.0
69,12,Dyson,44.0,bd.,1.5
70,10,Beko,46.0,bd.,1.5
71,8,Beko,,K,2.0
72,6,Beko,32.0,K,2.5
73,8,Beko,62.0,M,2.0
74,4,Tefal,,M,3.0
75,6,Beko,38.0,M,1.5
76,6,Beko,35.0,bd.,5.0
77,9,Dyson,35.0,M,2.5
78,6,Samsung,44.0,M,2.0
79,7,Samsung,,M,1.5
80,7,Electrolux,27.0,M,1.5
81,6,Electrolux,,M,2.0
82,8,Electrolux,41.0,bd.,3.0
83,2,Beko,23.0,M,4.5
84,3,Beko,32.0,bd.,3.0
85,8,Beko,35.0,bd.,3.5
86,6,Electrolux,44.0,bd.,2.5
87,2,Beko,43.0,bd.,1.5
88,7,Tefal,37.0,M,3.0
89,6,Electrolux,53.0,M,1.5
90,6,Beko,43.0,bd.,2.5
91,7,Electrolux,41.0,M,1.0
92,6,Beko,38.0,bd.,1.5
93,8,Electrolux,46.0,M,2.5
94,6,Beko,49.0,bd.,2.0
95,10,Electrolux,43.0,M,3.5
96,6,Dyson,33.0,M,1.0
97,4,Beko,50.0,bd.,3.0
98,4,Beko,52.0,bd.,2.0
99,8,Beko,37.0,bd.,2.0
100,5,Electrolux,58.0,M,4.5
101,3,Beko,,bd.,2.0
102,6,Electrolux,25.0,M,5.0
103,6,Electrolux,45.0,M,0.5
104,9,Samsung,35.0,M,2.0
105,5,Beko,45.0,M,1.0
106,5,Dyson,40.0,M,2.0
107,13,Beko,,M,2.0
108,7,Dyson,,M,2.0
109,6,Beko,38.0,bd.,2.0
110,4,Beko,32.0,M,1.5
111,6,Electrolux,26.0,bd.,5.0
112,10,Beko,50.0,bd.,4.0
113,11,Beko,55.0,M,2.5
114,11,Beko,50.0,bd.,0.5
115,4,Electrolux,50.0,bd.,3.0
116,5,Beko,50.0,M,1.0
117,5,Dyson,55.0,K,3.5
118,5,Beko,33.0,bd.,1.5
119,3,Beko,,bd.,2.5
120,10,Dyson,43.0,K,2.5
121,8,Electrolux,24.0,M,3.0
122,9,Beko,22.0,bd.,4.0
123,11,Tefal,40.0,bd.,3.0
124,8,Tefal,59.0,bd.,3.0
125,7,Beko,,bd.,3.0
126,5,Beko,,bd.,1.5
127,6,Electrolux,19.0,bd.,3.5
128,3,Beko,38.0,bd.,2.0
129,4,Dyson,49.0,bd.,3.5
130,9,Samsung,36.0,M,3.5
131,5,Tefal,46.0,bd.,1.0
132,4,Electrolux,50.0,bd.,2.5
133,8,Dyson,24.0,M,5.0
134,3,Electrolux,48.0,M,1.5
135,12,Dyson,39.0,bd.,1.0
136,5,Electrolux,56.0,bd.,3.0
137,3,Beko,,M,3.0
138,5,Dyson,39.0,M,5.0
139,7,Electrolux,33.0,bd.,3.0
140,12,Electrolux,47.0,M,2.5
141,6,Beko,32.0,bd.,2.0
142,5,Electrolux,61.0,M,1.5
143,7,Electrolux,,M,5.0
144,7,Tefal,50.0,bd.,1.5
145,13,Beko,55.0,bd.,2.0
146,8,Beko,30.0,bd.,3.0
147,5,Tefal,49.0,bd.,1.0
148,8,Electrolux,36.0,M,1.5
149,8,Dyson,,bd.,3.0
150,4,Dyson,19.0,bd.,2.0
151,10,Beko,36.0,M,4.5
152,8,Dyson,47.0,bd.,4.0
153,10,Dyson,74.0,M,2.5
154,6,Tefal,47.0,bd.,5.0
155,6,Dyson,55.0,bd.,1.0
156,5,Electrolux,34.0,bd.,1.0
157,5,Beko,56.0,M,1.0
158,5,Beko,35.0,M,3.0
159,5,Samsung,,bd.,1.5
160,5,Dyson,62.0,M,0.5
161,12,Dyson,51.0,bd.,2.0
162,10,Beko,56.0,bd.,2.0
163,7,Dyson,42.0,bd.,3.5
164,4,Beko,49.0,M,1.5
165,9,Beko,35.0,bd.,2.0
166,10,Beko,56.0,bd.,1.5
167,4,Beko,,M,4.0
168,5,Electrolux,30.0,M,3.0
169,8,Beko,42.0,M,1.5
170,8,Beko,43.0,bd.,2.5
171,9,Beko,57.0,M,2.0
172,7,Beko,56.0,bd.,3.0
173,6,Dyson,32.0,bd.,4.0
174,1,Samsung,50.0,M,3.0
175,5,Electrolux,50.0,M,3.5
176,5,Beko,30.0,bd.,2.5
177,5,Beko,43.0,bd.,3.0
178,11,Electrolux,35.0,M,2.0
179,9,Electrolux,35.0,M,3.5
180,7,Beko,56.0,M,4.5
181,5,Beko,49.0,bd.,2.5
182,6,Electrolux,35.0,M,0.0
183,6,Electrolux,40.0,bd.,1.5
184,7,Electrolux,,K,2.5
185,6,Beko,42.0,bd.,1.5
186,7,Beko,,bd.,3.0
187,6,Dyson,60.0,M,0.0
188,4,Dyson,47.0,M,1.5
189,9,Electrolux,46.0,M,2.0
190,9,Beko,24.0,bd.,0.5
191,3,Beko,54.0,M,2.0
192,3,Electrolux,,M,1.5
193,8,Beko,30.0,M,1.5
194,9,Electrolux,25.0,M,1.0
195,7,Electrolux,38.0,M,1.5
196,6,Electrolux,44.0,bd.,2.5
197,8,Electrolux,33.0,M,1.0
198,6,Dyson,35.0,bd.,2.5
199,7,Dyson,30.0,bd.,2.5
200,9,Electrolux,47.0,K,2.5
201,8,Beko,27.0,bd.,2.0
202,6,Dyson,29.0,bd.,1.0
203,7,Dyson,51.0,bd.,4.0
204,2,Tefal,,M,1.0
205,6,Electrolux,50.0,bd.,4.0
206,3,Beko,41.0,M,2.0
207,8,Beko,50.0,M,3.0
208,8,Beko,47.0,bd.,1.5
209,7,Dyson,23.0,bd.,5.0
210,7,Dyson,44.0,bd.,1.0
211,3,Beko,50.0,M,1.0
212,5,Electrolux,49.0,bd.,3.0
213,9,Electrolux,57.0,M,3.5
214,6,Beko,43.0,bd.,2.0
215,4,Beko,,M,4.0
216,15,Beko,42.0,K,3.5
217,13,Dyson,54.0,M,3.5
218,7,Dyson,41.0,M,1.5
219,11,Beko,55.0,K,3.5
220,6,Beko,35.0,bd.,2.0
221,10,Electrolux,43.0,bd.,2.0
222,6,Electrolux,54.0,bd.,2.0
223,7,Dyson,,bd.,3.0
224,7,Electrolux,56.0,K,2.0
225,7,Samsung,44.0,bd.,3.5
226,6,Electrolux,35.0,bd.,2.5
